 ,Label,Area,Mean,Min,Max,BX,BY,Width,Height,Major,Minor,Angle,Circ.,AR,Round,Solidity
1,T-S_10K6_1v.tif:0001:T-S_10K6_1v,5600,87.254,0,143,2768,468,70,80,90.270,78.987,90,0.782,1.143,0.875,1.000
2,T-S_10K6_1v.tif:0002:T-S_10K6_1v,25333,104.965,0,152,2699,231,77,329,371.237,86.885,90,0.483,4.273,0.234,1.000
3,T-S_10K6_1v.tif:0003:T-S_10K6_1v,6624,90.388,0,145,2636,462,72,92,103.811,81.243,90,0.774,1.278,0.783,1.000
4,T-S_10K6_1v.tif:0004:T-S_10K6_1v,8455,84.411,0,194,2553,473,95,89,107.196,100.426,0,0.785,1.067,0.937,1.000
5,T-S_10K6_1v.tif:0005:T-S_10K6_1v,4590,80.143,0,137,2507,468,54,85,95.912,60.932,90,0.746,1.574,0.635,1.000
6,T-S_10K6_1v.tif:0006:T-S_10K6_1v,8118,74.653,0,167,2431,476,82,99,111.710,92.527,90,0.778,1.207,0.828,1.000
7,T-S_10K6_1v.tif:0007:T-S_10K6_1v,7007,62.950,0,140,2363,482,77,91,102.683,86.885,90,0.780,1.182,0.846,1.000
8,T-S_10K6_1v.tif:0008:T-S_10K6_1v,5360,117.545,17,142,2296,484,67,80,90.270,75.601,90,0.779,1.194,0.838,1.000
9,T-S_10K6_1v.tif:0009:T-S_10K6_1v,23920,105.164,0,163,2216,269,80,299,337.385,90.270,90,0.523,3.737,0.268,1.000
10,T-S_10K6_1v.tif:0010:T-S_10K6_1v,4662,68.116,0,141,2172,485,63,74,83.500,71.088,90,0.780,1.175,0.851,1.000
11,T-S_10K6_1v.tif:0011:T-S_10K6_1v,8554,73.163,0,154,2072,479,94,91,106.068,102.683,0,0.785,1.033,0.968,1.000
12,T-S_10K6_1v.tif:0012:T-S_10K6_1v,5890,66.748,0,146,2006,478,62,95,107.196,69.960,90,0.751,1.532,0.653,1.000
13,T-S_10K6_1v.tif:0013:T-S_10K6_1v,2464,122.339,84,144,1974,489,32,77,86.885,36.108,90,0.652,2.406,0.416,1.000
14,T-S_10K6_1v.tif:0014:T-S_10K6_1v,6984,66.937,0,143,1902,484,72,97,109.453,81.243,90,0.768,1.347,0.742,1.000
15,T-S_10K6_1v.tif:0015:T-S_10K6_1v,6588,75.924,0,150,1844,490,61,108,121.865,68.831,90,0.725,1.770,0.565,1.000
16,T-S_10K6_1v.tif:0016:T-S_10K6_1v,1120,125.785,94,148,1830,492,14,80,90.270,15.797,90,0.398,5.714,0.175,1.000
17,T-S_10K6_1v.tif:0017:T-S_10K6_1v,5757,71.060,0,154,1773,474,57,101,113.966,64.318,90,0.724,1.772,0.564,1.000
18,T-S_10K6_1v.tif:0018:T-S_10K6_1v,18080,102.609,0,163,1704,361,80,226,255.014,90.270,90,0.607,2.825,0.354,1.000
19,T-S_10K6_1v.tif:0019:T-S_10K6_1v,1440,115.389,72,141,1696,510,30,48,54.162,33.851,90,0.744,1.600,0.625,1.000
