 ,Label,Area,Mean,Min,Max,BX,BY,Width,Height,Major,Minor,Angle,Circ.,AR,Round,Solidity
1,T-S_10K6;1r.tif:0001,34860,96.865,0,171,4052,611,105,332,374.622,118.480,90,0.573,3.162,0.316,1.000
2,T-S_10K6;1r.tif:0002,42476,109.226,0,196,3739,627,518,82,584.500,92.527,0,0.371,6.317,0.158,1.000
3,T-S_10K6;1r.tif:0003,4719,62.435,0,149,3701,592,39,121,136.534,44.007,90,0.579,3.103,0.322,1.000
4,T-S_10K6;1r.tif:0004,22137,64.822,0,147,3536,593,157,141,177.156,159.101,0,0.783,1.113,0.898,1.000
5,T-S_10K6;1r.tif:0005,19440,61.086,0,188,3461,591,135,144,162.487,152.331,90,0.785,1.067,0.938,1.000
6,T-S_10K6;1r.tif:0006,14514,75.992,0,202,3366,584,118,123,138.791,133.149,90,0.785,1.042,0.959,1.000
7,T-S_10K6;1r.tif:0007,2160,110.299,20,147,3343,601,24,90,101.554,27.081,90,0.522,3.750,0.267,1.000
8,T-S_10K6;1r.tif:0008,15504,58.267,0,165,3206,588,136,114,153.460,128.635,0,0.779,1.193,0.838,1.000
9,T-S_10K6;1r.tif:0009,15093,52.851,0,216,3086,590,117,129,145.561,132.020,90,0.784,1.103,0.907,1.000
10,T-S_10K6;1r.tif:0010,14112,57.325,0,157,2974,588,112,126,142.176,126.378,90,0.783,1.125,0.889,1.000
11,T-S_10K6;1r.tif:0011,6144,51.025,0,158,2922,596,48,128,144.433,54.162,90,0.623,2.667,0.375,1.000
12,T-S_10K6;1r.tif:0012,8806,114.974,49,157,2848,599,74,119,134.277,83.500,90,0.743,1.608,0.622,1.000
13,T-S_10K6;1r.tif:0013,10248,70.105,0,156,2764,602,84,122,137.662,94.784,90,0.759,1.452,0.689,1.000
14,T-S_10K6;1r.tif:0014,31850,115.219,0,197,2676,385,91,350,394.933,102.683,90,0.514,3.846,0.260,1.000
15,T-S_10K6;1r.tif:0015,5950,115.318,44,167,2626,603,50,119,134.277,56.419,90,0.654,2.380,0.420,1.000
16,T-S_10K6;1r.tif:0016,4095,68.639,0,157,2581,597,45,91,102.683,50.777,90,0.696,2.022,0.495,1.000
17,T-S_10K6;1r.tif:0017,6808,79.529,0,149,2521,590,46,148,167.000,51.905,90,0.568,3.217,0.311,1.000
18,T-S_10K6;1r.tif:0018,14145,73.575,0,172,2392,577,115,123,138.791,129.764,90,0.785,1.070,0.935,1.000
