 ID,MY_ID,TEI-TAG,LINK,USE,Module,Note,Transcriber Short Cut,Palatte for Live Coder,Example
1,1,ab,<a href="http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-ab.html">http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-ab.html</a>,1,linking,redaction section,,,
2,2,att.global.rendition,<a href="http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.global.rendition.html">http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.global.rendition.html</a>,,TEI infrastructure,,,,
3,3,att.global.responsibility,<a href="http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.global.responsibility.html">http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.global.responsibility.html</a>,,TEI infrastructure,,,,
4,4,att.global.source,<a href="http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.global.source.html">http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.global.source.html</a>,,TEI infrastructure,,,,
5,5,att.written,<a href="http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.written.html">http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.written.html</a>,,TEI infrastructure,,,,
6,6,punctuation,<a href="http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-punctuation.html">http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-punctuation.html</a>,,header,,,,
7,7,msFrag,<a href="http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-msFrag.html">http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-msFrag.html</a>,1,msdescription,<msFrag> (manuscript fragment) contains information about a fragment of a scattered manuscript now held as a single unit or bound into a larger manuscript. [10.11 Manuscript Fragments],,,
8,8,transcriptionDesc,<a href="http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-transcriptionDesc.html">http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-transcriptionDesc.html</a>,,spoken,,,,
9,9,exemplum,<a href="http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-exemplum.html">http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-exemplum.html</a>,,tagdocs,,,,
10,10,origDate,<a href="http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-origDate.html">http://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-origDate.html</a>,1,msdescription,This might be interesting to in terms of c-14 and palaeographical data correlation points.,,,
