 ID,MY_ID,TEI-TAG,LINK,USE,Module,Note,Transcriber Short Cut,Palatte for Live Coder,Example
1,1,ab,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-ab.html,1,linking,redaction section,,,
2,2,att.global.rendition,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.global.rendition.html,,TEI infrastructure,,,,
3,3,att.global.responsibility,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.global.responsibility.html,,TEI infrastructure,,,,
4,4,att.global.source,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.global.source.html,,TEI infrastructure,,,,
5,5,att.written,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.written.html,,TEI infrastructure,,,,
6,6,punctuation,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-punctuation.html,,header,,,,
7,7,msFrag,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-msFrag.html,1,msdescription,<msFrag> (manuscript fragment) contains information about a fragment of a scattered manuscript now held as a single unit or bound into a larger manuscript. [10.11 Manuscript Fragments],,,
8,8,transcriptionDesc,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-transcriptionDesc.html,,spoken,,,,
9,9,exemplum,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-exemplum.html,,tagdocs,,,,
10,10,origDate,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-origDate.html,1,msdescription,This might be interesting to in terms of c-14 and palaeographical data correlation points.,,,
11,11,outputRendition,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-outputRendition.html,,tagdocs,,,,
12,12,abbr,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-abbr.html,1,core,abbreviated forms/yes in Damascus; and most certainly in later Jewish manuscripts,,,
13,13,teidata.enumerated,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-teidata.enumerated.html,,TEI infrastructure,,,,
14,14,abstract,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-abstract.html,,header,,,,
15,15,accMat,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-accMat.html,1,msdescription,maybe for DJD related comments?,,,
16,16,acquisition,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-acquisition.html,1,msdescription,yes for a fragment descriptive TEI file or JSON,,,
17,17,activity,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-activity.html,0,corpus,,,,
18,18,actor,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-actor.html,0,drama,,,,
19,19,add,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-add.html,1,core,,word+,,
20,20,additional,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-additional.html,1,msdescription,"Alternate names for fragments e.g., DJD/Milik�s list",,,
21,21,additions,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-additions.html,1,msdescription,for marginalia (cross index with word ID) use null tag in image table,,yes,
22,22,addName,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-addName.html,1,namesdates,"more interpretive, but helpful for epithets",,yes,
23,23,address,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-address.html,,core,,,,
24,24,addrLine,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-addrLine.html,,core,,,,
25,25,addSpan,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-addSpan.html,1,transc,Either for scribal or interpretive uses. 1. Scribal hands (cf. 1QIsaa), 2. Marking redactional sections,,yes
26,26,adminInfo,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-adminInfo.html,1,msdescription,Metafile for Fragment,,,
27,27,affiliation,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-affiliation.html,0,namesdates,,,,
28,28,age,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-age.html,1,namesdates,tagging dates of ages in legal texts,,yes,
29,29,alt,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-alt.html,1,linking,theoretical changes in scribal production,,yes,
30,30,alternate,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-alternate.html,,tagdocs,,,,
31,31,altGrp,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-altGrp.html,Maybe,linking,,,,
32,32,altIdent,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-altIdent.html,0,tagdocs,,,,
33,33,altIdentifier,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-altIdentifier.html,1,msdescription,cf. Additional, this might be better.,,
34,34,am,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-am.html,1,transc,abbreviation marker, <abbr>Mr.<am>.</am></abbr>,,
35,35,analytic,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-analytic.html,,core,,,,
36,36,anchor,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-anchor.html,1,linking,link to images?,,,
37,37,annotationBlock,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-annotationBlock.html,,spoken,,,,
38,38,app,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-app.html,1,textcrit,Create Apparatuses on demand with different foci,,yes,
39,39,appInfo,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-appInfo.html,0,header,,,,
40,40,application,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-application.html,0,header,,,,
41,41,arc,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-arc.html,0,nets,,,,
42,42,argument,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-argument.html,1,textStruct,for textual developments,,yes,
43,43,att.ascribed,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.ascribed.html,0,TEI infrastructure,,,,
44,44,att.breaking,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.breaking.html,0,TEI infrastructure,,,,
45,45,att.canonical,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.canonical.html,,TEI infrastructure,,,,
46,46,att.combinable,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.combinable.html,,tagdocs,,,,
47,47,att.coordinated,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.coordinated.html,1,transc,,,,
48,48,att.cReferencing,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.cReferencing.html,,TEI infrastructure,,,,
49,49,att.damaged,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.damaged.html,,TEI infrastructure,,,,
50,50,att.datable.custom,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.datable.custom.html,,namesdates,,,,
51,51,att.datable,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.datable.html,,TEI infrastructure,,,,
52,52,att.datable.iso,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.datable.iso.html,,namesdates,,,,
53,53,att.datable.w3c,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.datable.w3c.html,,TEI infrastructure,,,,
54,54,att.datcat,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.datcat.html,,TEI infrastructure,,,,
55,55,att.declarable,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.declarable.html,,TEI infrastructure,,,,
56,56,att.declaring,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.declaring.html,,TEI infrastructure,,,,
57,57,att.dimensions,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.dimensions.html,,TEI infrastructure,,,,
58,58,att.divLike,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.divLike.html,,TEI infrastructure,,,,
59,59,att.docStatus,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.docStatus.html,,TEI infrastructure,,,,
60,60,att.duration,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.duration.html,,spoken,,,,
61,61,att.duration.iso,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.duration.iso.html,,TEI infrastructure,,,,
62,62,att.duration.w3c,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.duration.w3c.html,,TEI infrastructure,,,,
63,63,att.edition,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.edition.html,,TEI infrastructure,,,,
64,64,att.editLike,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.editLike.html,,TEI infrastructure,,,,
65,65,att.enjamb,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.enjamb.html,,Verse,,,,
66,66,att.entryLike,https://www.tei-c.org/release/doc/tei-p5-doc/en/html/ref-att.entryLike.html,,dictionary,,,,
