id,sqe_master_id,roi_id,image_id_damascus,Area,Mean,Min,Max,BX,BY,Width,Height,Circ.,AR,Round,Solidity,reading_Order,reading_Order_Alt,uni_He_0,uni_He_1,uni_He_2,uni_He_3,uni_He_4,uni_He_5,line_ID,line_ID_Alt,attr_0,attr_1,is_Joined,commentary
,,1,Frg_2ii_א_char.tif:0001-0459-4377:1,0.018,108.729,43,255,3.559,0.278,0.088,0.199,0.668,2.262,0.442,1,1,,ם,,,,,,1,,damaged,,,
,,3,Frg_2ii_א_char.tif:0001-0519-3702:1,0.014,101.84,49,255,2.988,0.37,0.119,0.114,0.785,1.036,0.965,1,2,,ע,,,,,,1,,,,,
,,4,Frg_2ii_א_char.tif:0001-0529-3300:1,0.002,107.194,31,255,2.693,0.413,0.046,0.044,0.785,1.037,0.964,1,3,,א,,,,,,1,,damaged,,1,
,,5,Frg_2ii_א_char.tif:0001-0544-3419:1,3.05E-04,100.2,58,255,2.804,0.44,0.021,0.015,0.765,1.389,0.72,1,3,,א,,,,,,1,,damaged,,1,
,,2,Frg_2ii_א_char.tif:0001-0517-3155:1,0.018,105.946,26,255,2.523,0.365,0.149,0.123,0.778,1.215,0.823,1,4,,ש,,,,,,1,,damaged,,,
,,6,Frg_2ii_א_char.tif:0001-0546-2992:1,0.009,102.764,29,255,2.413,0.404,0.099,0.091,0.784,1.091,0.917,1,5,,ר,,,,,,1,,,,,
,,7,Frg_2ii_א_char.tif:0001-0594-6813:1,0.011,68.083,20,129,5.562,0.429,0.091,0.121,0.77,1.324,0.755,1,6,,כ,,,,,,2,,,,,
,,8,Frg_2ii_א_char.tif:0001-0597-6721:1,0.007,72.876,17,130,5.498,0.44,0.068,0.105,0.751,1.53,0.654,1,7,,י,,,,,,2,,,,,
,,210,Frg_2ii_א_char.tif:0001-0602-6664:1,0.002,115.652,79,131,5.472,0.46,0.026,0.071,0.621,2.688,0.372,1,8,, ,,,,,,2,,,,,
,,9,Frg_2ii_א_char.tif:0001-0610-6587:1,0.011,67.728,15,126,5.372,0.446,0.1,0.112,0.783,1.124,0.89,1,9,,א,,,,,,2,,,,,
,,10,Frg_2ii_א_char.tif:0001-0619-6470:1,0.008,63.583,15,115,5.293,0.451,0.064,0.117,0.719,1.821,0.549,1,10,,י,,,,,,2,,,,,
,,11,Frg_2ii_א_char.tif:0001-0696-6422:1,0.02,127.123,15,255,5.244,0.453,0.085,0.24,0.606,2.835,0.353,1,12,,ן,,,,,,2,,damaged,,,
,,18,Frg_2ii_א_char.tif:0001-0743-5834:1,0.021,97.315,31,255,4.745,0.521,0.114,0.181,0.744,1.594,0.627,1,13,,ק,,,,,,2,,damaged,,,
,,20,Frg_2ii_א_char.tif:0001-0839-5553:1,0.007,99.492,32,255,4.533,0.645,0.076,0.091,0.779,1.196,0.836,1,14,,ם,,,,,,2,,damaged,,,
