id,sqe_master_id,roi_id,image_id_damascus,Area,Mean,Min,Max,BX,BY,Width,Height,Circ.,AR,Round,Solidity,reading_Order,reading_Order_Alt,uni_He_0,uni_He_1,uni_He_2,uni_He_3,uni_He_4,uni_He_5,line_ID,line_ID_Alt,attr_0,attr_1,is_Joined,commentary
1,,,02-Frg_2i_א_ROI.tif:0007-1241-2617:7,26598,127.004,67,191,2524,1170,186,143,0.772,1.301,0.769,1,1,,ד,,,,,,,,,,,
2,,,02-Frg_2i_א_ROI.tif:0007-1360-2426:7,48471,122.796,57,183,2351,1200,151,321,0.684,2.126,0.47,1,2,,ק,,,,,,,,,,,
162,,,02-Frg_2i_א_ROI.tif:0007-2534-2041:7,12555,127.064,88,173,1995,2467,93,135,0.759,1.452,0.689,1,3,,,,,,,,,,,,,
161,,,02-Frg_2i_א_ROI.tif:0007-1418-2225:7,216,116.935,68,159,2216,1412,18,12,0.754,1.5,0.667,1,4,,ו,,,,,,,,,,,
11,,,02-Frg_2i_א_ROI.tif:0007-1511-1946:7,3087,123.418,68,164,1915,1487,63,49,0.773,1.286,0.778,1,5,,נ,,,,,,,,,,,
3,,,02-Frg_2i_א_ROI.tif:0007-1495-2850:7,13632,114.69,52,175,2802,1424,96,142,0.756,1.479,0.676,1,7,,ב,,,,,,,,,,,
4,,,02-Frg_2i_א_ROI.tif:0007-1550-2758:7,26796,116.631,50,177,2692,1449,132,203,0.75,1.538,0.65,1,8,,כ,,,,,,,,,,,
5,,,02-Frg_2i_א_ROI.tif:0007-1540-2662:7,14688,116.192,58,175,2611,1468,102,144,0.763,1.412,0.708,1,9,,ו,,,,,,,,,,,
6,,,02-Frg_2i_א_ROI.tif:0007-1475-2513:7,56780,127.072,64,182,2430,1305,167,340,0.694,2.036,0.491,1,10,,ל,,,,,,,,,,,
143,,,02-Frg_2i_א_ROI.tif:0007-1592-2391:7,6006,149.539,77,184,2352,1554,78,77,0.785,1.013,0.987,1,11,, ,,,,,,,,,,,
7,,,02-Frg_2i_א_ROI.tif:0007-1591-2311:7,7308,118.823,42,180,2269,1548,84,87,0.785,1.036,0.966,1,12,,מ,,,,,,,,,,,
8,,,02-Frg_2i_א_ROI.tif:0007-1615-2237:7,2754,127.42,51,175,2212,1588,51,54,0.785,1.059,0.944,1,13,,נ,,,,,,,,,,,
9,,,02-Frg_2i_א_ROI.tif:0007-1649-2138:7,8991,131.169,62,182,2083,1609,111,81,0.766,1.37,0.73,1,14,,א,,,,,,,,,,,
10,,,02-Frg_2i_א_ROI.tif:0007-1674-2045-10:7,378,105.503,50,145,2035,1665,21,18,0.781,1.167,0.857,1,15,,צ,,,,,,,,,,,
159,,,02-Frg_2i_א_ROI.tif:0007-1418-2225:7,216,116.935,68,159,2216,1412,18,12,0.754,1.5,0.667,1,15,,צ,,,,,,,,,,,
12,,,02-Frg_2i_א_ROI.tif:0007-1825-2850:7,14111,109.063,55,167,2799,1757,103,137,0.77,1.33,0.752,1,16,,ו,,,,,,,,,,,
13,,,02-Frg_2i_א_ROI.tif:0007-1835-2768:7,9720,113.894,57,170,2732,1768,72,135,0.713,1.875,0.533,1,17,,י,,,,,,,,,,,
14,,,02-Frg_2i_א_ROI.tif:0007-1879-2681:7,23560,111.917,45,169,2619,1784,124,190,0.751,1.532,0.653,1,18,,ת,,,,,,,,,,,
15,,,02-Frg_2i_א_ROI.tif:0007-1884-2599:7,11340,118.88,66,171,2559,1814,81,140,0.729,1.728,0.579,1,19,,נ,,,,,,,,,,,
16,,,02-Frg_2i_א_ROI.tif:0007-1937-2485:7,49408,122.386,51,186,2389,1809,193,256,0.77,1.326,0.754,1,20,,ם,,,,,,,,,,,
17,,,02-Frg_2i_א_ROI.tif:0007-2173-2927:7,15960,103.635,53,166,2875,2097,105,152,0.759,1.448,0.691,1,21,,נ,,,,,,,,,,,
18,,,02-Frg_2i_א_ROI.tif:0007-2198-2831:7,21452,113.434,60,169,2769,2112,124,173,0.764,1.395,0.717,1,22,,ת,,,,,,,,,,,
19,,,02-Frg_2i_א_ROI.tif:0007-2224-2727:7,21080,118.144,54,171,2665,2139,124,170,0.766,1.371,0.729,1,23,,נ,,,,,,,,,,,
20,,,02-Frg_2i_א_ROI.tif:0007-2226-2661-21:7,31941,115.957,45,168,2536,2157,169,189,0.783,1.118,0.894,1,24,,ם,,,,,,,,,,,
21,,,02-Frg_2i_א_ROI.tif:0007-2256-2588:7,1632,101.298,53,160,2501,2234,34,48,0.763,1.412,0.708,1,25,,ל,,,,,,,,,,,
22,,,02-Frg_2i_א_ROI.tif:0007-2556-2943:7,17271,100.933,55,161,2893,2471,101,171,0.733,1.693,0.591,1,26,,נ,,,,,,,,,,,
23,,,02-Frg_2i_א_ROI.tif:0007-2546-2888:7,10872,99.053,54,190,2852,2471,72,151,0.687,2.097,0.477,1,27,,ב,,,,,,,,,,,
164,,,,,,,,,,,,,,,,28,,צ,,,,,,,,,,,
24,,,02-Frg_2i_א_ROI.tif:0007-2528-2199:7,51504,122.208,48,199,2088,2412,222,232,0.785,1.045,0.957,1,29,,ר,,,,,,,,,,,
25,,,02-Frg_2i_א_ROI.tif:0007-2533-1938:7,20064,103.045,47,168,1881,2445,114,176,0.749,1.544,0.648,1,30,,מ,,,,,,,,,,,
26,,,02-Frg_2i_א_ROI.tif:0007-2500-1798:7,18120,112.016,58,173,1738,2425,120,151,0.775,1.258,0.795,1,31,,ל,,,,,,,,,,,
27,,,02-Frg_2i_א_ROI.tif:0007-2869-2852:7,5964,118.043,68,164,2810,2834,84,71,0.78,1.183,0.845,1,32,,ע,,,,,,,,,,,
28,,,02-Frg_2i_א_ROI.tif:0007-2829-2735:7,42240,117.537,68,176,2647,2709,176,240,0.767,1.364,0.733,1,33,,ת,,,,,,,,,,,
144,,,02-Frg_2i_א_ROI.tif:0007-2802-2617:7,7137,131.665,106,165,2587,2744,61,117,0.708,1.918,0.521,1,34,, ,,,,,,,,,,,
29,,,02-Frg_2i_א_ROI.tif:0007-2752-2547:7,13760,113.521,53,180,2507,2666,80,172,0.681,2.15,0.465,1,35,,ל,,,,,,,,,,,
30,,,02-Frg_2i_א_ROI.tif:0007-2816-2468:7,13172,121.083,72,175,2424,2742,89,148,0.737,1.663,0.601,1,36,,י,,,,,,,,,,,
31,,,02-Frg_2i_א_ROI.tif:0007-2821-2383:7,13706,127.56,64,190,2339,2744,89,154,0.729,1.73,0.578,1,37,,ר,,,,,,,,,,,
32,,,02-Frg_2i_א_ROI.tif:0007-2815-2298:7,11644,117.998,59,173,2257,2744,82,142,0.729,1.732,0.577,1,38,,ו,,,,,,,,,,,
33,,,02-Frg_2i_א_ROI.tif:0007-2813-2172:7,24649,119.583,63,179,2094,2735,157,157,0.785,1,1,1,39,,ש,,,,,,,,,,,
145,,,02-Frg_2i_א_ROI.tif:0007-2811-2029:7,11310,137.182,97,192,1964,2768,130,87,0.755,1.494,0.669,1,40,, ,,,,,,,,,,,
34,,,02-Frg_2i_א_ROI.tif:0007-2791-1927:7,5475,113.713,52,179,1890,2755,75,73,0.785,1.027,0.973,1,41,,א,,,,,,,,,,,
35,,,02-Frg_2i_א_ROI.tif:0007-3184-3070:7,8505,114.487,57,167,3030,3132,81,105,0.772,1.296,0.771,1,42,,כ,,,,,,,,,,,
36,,,02-Frg_2i_א_ROI.tif:0007-3191-2999:7,9727,116.113,62,164,2964,3123,71,137,0.706,1.93,0.518,1,43,,י,,,,,,,,,,,
146,,,02-Frg_2i_א_ROI.tif:0007-3191-2942:7,4004,123.942,96,165,2920,3146,44,91,0.69,2.068,0.484,1,44,, ,,,,,,,,,,,
37,,,02-Frg_2i_א_ROI.tif:0007-3192-2867:7,16264,104.751,52,170,2814,3116,107,152,0.762,1.421,0.704,1,45,,א,,,,,,,,,,,
38,,,02-Frg_2i_א_ROI.tif:0007-3182-2759:7,18542,106.571,58,168,2696,3109,127,146,0.782,1.15,0.87,1,47,,ש,,,,,,,,,,,
39,,,02-Frg_2i_א_ROI.tif:0007-3185-2621:7,20502,120.495,64,179,2554,3109,134,153,0.782,1.142,0.876,1,48,,מ,,,,,,,,,,,
40,,,02-Frg_2i_א_ROI.tif:0007-3174-2548:7,8122,123.548,70,171,2517,3109,62,131,0.685,2.113,0.473,1,49,,י,,,,,,,,,,,
41,,,02-Frg_2i_א_ROI.tif:0007-3191-2444:7,22066,121.843,67,172,2385,3098,118,187,0.745,1.585,0.631,1,50,,ם,,,,,,,,,,,
147,,,02-Frg_2i_א_ROI.tif:0007-3166-2308:7,17248,124.812,58,175,2231,3110,154,112,0.766,1.375,0.727,1,51,,,,,,,,,,,,,
42,,,02-Frg_2i_א_ROI.tif:0007-3150-2176:7,13200,122.277,60,169,2121,3090,110,120,0.784,1.091,0.917,1,52,,ה,,,,,,,,,,,
43,,,02-Frg_2i_א_ROI.tif:0007-3155-2093:7,14144,124.793,69,173,2041,3087,104,136,0.771,1.308,0.765,1,53,,מ,,,,,,,,,,,
44,,,02-Frg_2i_א_ROI.tif:0007-3157-1987:7,20358,110.265,52,178,1929,3070,117,174,0.755,1.487,0.672,1,54,,ה,,,,,,,,,,,
45,,,02-Frg_2i_א_ROI.tif:0007-3525-3089:7,13083,106.695,57,169,3045,3452,89,147,0.738,1.652,0.605,1,55,,ו,,,,,,,,,,,
46,,,02-Frg_2i_א_ROI.tif:0007-3537-3000:7,11480,111.348,56,176,2959,3467,82,140,0.732,1.707,0.586,1,56,,י,,,,,,,,,,,
47,,,02-Frg_2i_א_ROI.tif:0007-3531-2902:7,17427,113.041,59,164,2847,3453,111,157,0.762,1.414,0.707,1,57,,ב,,,,,,,,,,,
48,,,02-Frg_2i_א_ROI.tif:0007-3583-2834:7,18564,116.572,57,217,2800,3447,68,273,0.502,4.015,0.249,1,58,,ן,,,,,,,,,,,
148,,,02-Frg_2i_א_ROI.tif:0007-3512-2780:7,4680,129.213,101,167,2761,3452,39,120,0.582,3.077,0.325,1,59,,,,,,,,,,,,,
49,,,02-Frg_2i_א_ROI.tif:0007-3508-2705:7,18080,121.443,54,174,2649,3428,113,160,0.762,1.416,0.706,1,60,,א,,,,,,,,,,,
50,,,02-Frg_2i_א_ROI.tif:0007-3380-2583:7,36424,119.681,54,183,2525,3223,116,314,0.619,2.707,0.369,1,61,,ל,,,,,,,,,,,
51,,,02-Frg_2i_א_ROI.tif:0007-3481-2489:7,16819,108.499,60,168,2429,3412,121,139,0.782,1.149,0.871,1,62,,א,,,,,,,,,,,
52,,,02-Frg_2i_א_ROI.tif:0007-3343-2343:7,53320,118.56,58,181,2281,3128,124,430,0.546,3.468,0.288,1,63,,ל,,,,,,,,,,,
149,,,02-Frg_2i_א_ROI.tif:0007-3459-2267:7,3248,129.897,94,170,2253,3401,28,116,0.492,4.143,0.241,1,64,,,,,,,,,,,,,
53,,,02-Frg_2i_א_ROI.tif:0007-3458-2187:7,20436,114.931,62,180,2122,3380,131,156,0.779,1.191,0.84,1,65,,מ,,,,,,,,,,,
54,,,02-Frg_2i_א_ROI.tif:0007-3430-2070:7,12720,112.092,61,175,2017,3370,106,120,0.782,1.132,0.883,1,66,,ע,,,,,,,,,,,
55,,,02-Frg_2i_א_ROI.tif:0007-3426-1923:7,29205,118.824,63,186,1841,3338,165,177,0.784,1.073,0.932,1,67,,ש,,,,,,,,,,,
56,,,02-Frg_2i_א_ROI.tif:0007-3402-1815:7,336,106.083,81,150,1807,3392,16,21,0.771,1.312,0.762,1,68,,י,,,,,,,,,,,
57,,,02-Frg_2i_א_ROI.tif:0007-3755-3104:7,27027,113.896,53,178,3055,3619,99,273,0.614,2.758,0.363,1,69,,ל,,,,,,,,,,,
58,,,02-Frg_2i_א_ROI.tif:0007-3888-3023:7,28143,109.337,49,171,2944,3800,159,177,0.783,1.113,0.898,1,70,,ה,,,,,,,,,,,
59,,,02-Frg_2i_א_ROI.tif:0007-3888-2897:7,25400,119.997,56,174,2834,3788,127,200,0.746,1.575,0.635,1,71,,ד,,,,,,,,,,,
60,,,02-Frg_2i_א_ROI.tif:0007-3864-2768:7,24800,115.069,57,172,2706,3764,124,200,0.742,1.613,0.62,1,72,,ר,,,,,,,,,,,
61,,,02-Frg_2i_א_ROI.tif:0007-3838-2657:7,11544,111.269,57,169,2620,3760,74,156,0.686,2.108,0.474,1,73,,י,,,,,,,,,,,
62,,,02-Frg_2i_א_ROI.tif:0007-3827-2547:7,18150,109.498,60,171,2492,3745,110,165,0.754,1.5,0.667,1,74,,כ,,,,,,,,,,,
63,,,02-Frg_2i_א_ROI.tif:0007-3833-2417:7,40232,119.985,48,199,2323,3726,188,214,0.782,1.138,0.879,1,75,,ם,,,,,,,,,,,
64,,,02-Frg_2i_א_ROI.tif:0007-3644-2341:7,9990,114.001,61,179,2296,3589,90,111,0.777,1.233,0.811,1,76,,ב,,,,,,,,,,,
65,,,02-Frg_2i_א_ROI.tif:0007-3588-2137:7,374,93.035,52,162,2126,3580,22,17,0.772,1.294,0.773,1,77,,◦,,,,,,,,,,,
66,,,02-Frg_2i_א_ROI.tif:0007-3588-2081:7,418,108.28,53,134,2072,3577,19,22,0.781,1.158,0.864,1,78,,◦,,,,,,,,,,,
67,,,02-Frg_2i_א_ROI.tif:0007-3581-2038:7,812,113.665,72,159,2024,3567,29,28,0.785,1.036,0.966,1,79,,◦,,,,,,,,,,,
68,,,02-Frg_2i_א_ROI.tif:0007-3541-1963:7,11780,117.455,63,175,1925,3464,76,155,0.694,2.039,0.49,1,80,,ל,,,,,,,,,,,
69,,,02-Frg_2i_א_ROI.tif:0007-3578-1915:7,3564,111.262,63,164,1882,3551,66,54,0.778,1.222,0.818,1,81,,ב,,,,,,,,,,,
97,,,02-Frg_2i_א_ROI.tif:0007-4245-3175:7,11640,100.064,46,160,3127,4185,97,120,0.777,1.237,0.808,1,82,,ע,,,,,,,,,,,
70,,,02-Frg_2i_א_ROI.tif:0007-4225-3024:7,25032,92.899,33,161,2940,4151,168,149,0.783,1.128,0.887,1,83,,ש,,,,,,,,,,,
71,,,02-Frg_2i_א_ROI.tif:0007-4227-2871:7,20306,90.906,6,169,2800,4156,142,143,0.785,1.007,0.993,1,84,,ה,,,,,,,,damaged,,1_0,
