id,sqe_master_id,roi_id,image_id_damascus,Area,Mean,Min,Max,BX,BY,Width,Height,Circ.,AR,Round,Solidity,reading_Order,reading_Order_Alt,uni_He_0,uni_He_1,uni_He_2,uni_He_3,uni_He_4,uni_He_5,line_ID,line_ID_Alt,attr_0,attr_1,is_Joined,commentary
1,,,Frg_2i_ה_ROI.tif:0001-2149-4856:1,1656,67.556,23,151,4838,2126,36,46,0.774,1.278,0.783,1,1,,ו,,,,,,,,damaged,,,
2,,,Frg_2i_ה_ROI.tif:0001-2099-4680:1,14850,87.425,46,163,4631,2016,99,150,0.752,1.515,0.66,1,2,,י,,,,,,,,damaged,,,
3,,,Frg_2i_ה_ROI.tif:0001-2105-4553:1,31208,83.542,39,185,4470,2011,166,188,0.782,1.133,0.883,1,3,,ת,,,,,,,,,,,
4,,,Frg_2i_ה_ROI.tif:0001-2083-4417:1,18088,92.894,41,171,4351,2015,133,136,0.785,1.023,0.978,1,4,,ע,,,,,,,,damaged,,,
5,,,Frg_2i_ה_ROI.tif:0001-2103-4249:1,54522,94.992,44,188,4132,1987,234,233,0.785,1.004,0.996,1,5,,ם,,,,,,,,,,,
6,,,Frg_2i_ה_ROI.tif:0001-2066-4063:1,22080,123.036,83,186,3994,1986,138,160,0.781,1.159,0.863,1,6,,,,,,,,,,,,,
7,,,Frg_2i_ה_ROI.tif:0001-2046-3913:1,21870,85.814,28,175,3832,1979,162,135,0.779,1.2,0.833,1,7,,ב,,,,,,,,,,,
8,,,Frg_2i_ה_ROI.tif:0001-2053-3802:1,33698,96.039,40,168,3719,1952,166,203,0.778,1.223,0.818,1,8,,ת,,,,,,,,damaged,,,
9,,,Frg_2i_ה_ROI.tif:0001-2056-3647:1,22008,75.21,29,174,3582,1972,131,168,0.773,1.282,0.78,1,9,,ה,,,,,,,,damaged,,,
10,,,Frg_2i_ה_ROI.tif:0001-2042-3565:1,1196,67.641,46,138,3554,2016,23,52,0.668,2.261,0.442,1,10,,ו,,,,,,,,damaged,,,
11,,,Frg_2i_ה_ROI.tif:0001-2319-4952:1,36934,84.282,23,183,4893,2163,118,313,0.625,2.653,0.377,1,11,,ל,,,,,,,,damaged,,,
12,,,Frg_2i_ה_ROI.tif:0001-2437-4836:1,21352,81.556,20,175,4758,2369,157,136,0.781,1.154,0.866,1,12,,ה,,,,,,,,damaged,,,
13,,,Frg_2i_ה_ROI.tif:0001-2438-4666:1,29904,77.3,38,149,4577,2354,178,168,0.785,1.06,0.944,1,13,,ס,,,,,,,,,,,
14,,,Frg_2i_ה_ROI.tif:0001-2420-4491:1,14076,82.136,8,144,4440,2351,102,138,0.768,1.353,0.739,1,14,,י,,,,,,,,,,,
15,,,Frg_2i_ה_ROI.tif:0001-2411-4331:1,26622,89.098,49,166,4255,2324,153,174,0.782,1.137,0.879,1,15,,ע,,,,,,,,,,,
16,,,Frg_2i_ה_ROI.tif:0001-2413-4240:1,4611,109.02,85,134,4226,2334,29,159,0.41,5.483,0.182,1,16,,,,,,,,,,,,,
17,,,Frg_2i_ה_ROI.tif:0001-2430-4130:1,37818,95.49,52,145,4035,2331,191,198,0.785,1.037,0.965,1,17,,ג,,,,,,,,,,,
18,,,Frg_2i_ה_ROI.tif:0001-2389-3959:1,29016,92.374,51,163,3866,2314,186,156,0.779,1.192,0.839,1,18,,ב,,,,,,,,,,,
19,,,Frg_2i_ה_ROI.tif:0001-2394-3837:1,14168,91.041,53,155,3791,2317,92,154,0.736,1.674,0.597,1,19,,ו,,,,,,,,,,,
20,,,Frg_2i_ה_ROI.tif:0001-2331-3692:1,49764,108.727,48,183,3614,2172,156,319,0.693,2.045,0.489,1,20,,ל,,,,,,,,,,,
21,,,Frg_2i_ה_ROI.tif:0001-2692-4939:1,14746,84.602,45,164,4889,2619,101,146,0.759,1.446,0.692,1,21,,ל,,,,,,,,damaged,,,
22,,,Frg_2i_ה_ROI.tif:0001-2719-4839:1,15912,83.044,48,170,4787,2643,104,153,0.757,1.471,0.68,1,22,,ו,,,,,,,,,,,
