id,sqe_master_id,roi_id,image_id_damascus,Area,Mean,Min,Max,BX,BY,Width,Height,Circ.,AR,Round,Solidity,reading_Order,reading_Order_Alt,uni_He_0,uni_He_1,uni_He_2,uni_He_3,uni_He_4,uni_He_5,line_ID,line_ID_Alt,attr_0,attr_1,is_Joined,commentary
,,1,02_Frg_2ii_א_ROI.tif:0004-0679-2468:4,9434,75.768,9,115,2424,626,89,106,0.779,1.191,0.84,1,1,,ו,,,,,,,,,,,
,,2,02_Frg_2ii_א_ROI.tif:0004-0670-2375:4,8960,82.609,49,118,2335,614,80,112,0.764,1.4,0.714,1,2,,י,,,,,,,,,,,
,,3,02_Frg_2ii_א_ROI.tif:0004-0670-2273:4,14497,83.867,22,111,2219,604,109,133,0.778,1.22,0.82,1,3,,ח,,,,,,,,,,,
,,4,02_Frg_2ii_א_ROI.tif:0004-0688-2160:4,16170,89.522,52,118,2108,611,105,154,0.757,1.467,0.682,1,4,,ר,,,,,,,,,,,
,,14,02_Frg_2ii_א_ROI.tif:0004-0686-2074:4,6279,103.171,84,119,2040,641,69,91,0.771,1.319,0.758,1,5,, ,,,,,,,,,,,
,,5,02_Frg_2ii_א_ROI.tif:0004-0680-1970:4,19740,68.987,28,112,1900,610,141,140,0.785,1.007,0.993,1,6,,א,,,,,,,,,,,
,,6,02_Frg_2ii_א_ROI.tif:0004-0708-1856:4,20640,65.353,26,102,1792,628,129,160,0.776,1.24,0.806,1,7,,פ,ף,,,,,,,,,,
,,15,02_Frg_2ii_א_ROI.tif:0004-0688-1703:4,18437,89.793,66,111,1614,637,179,103,0.728,1.738,0.575,1,8,, ,,,,,,,,,,,
,,7,02_Frg_2ii_א_ROI.tif:0004-0677-1556:4,16820,69.324,27,112,1498,605,116,145,0.776,1.25,0.8,1,9,,א,,,,,,,,,,,
,,8,02_Frg_2ii_א_ROI.tif:0004-0647-1476:4,513,64.918,38,85,1467,634,19,27,0.762,1.421,0.704,1,10,,ל,,,,,,,,,,,"On PAM 42382 and 43269, there is an additional fragment which contains more of the lamed. We have no reason to doubt this smaller join. So, we read a lamed here."
,,9,02_Frg_2ii_א_ROI.tif:0004-0663-1089:4,903,48.105,24,99,1068,653,43,21,0.693,2.048,0.488,1,11,,ב,,,,,,,,,,,
,,125,02_Frg_2ii_א_ROI.tif:0004-0681-0916:4,1156,46.707,23,84,899,664,34,34,0.785,1,1,1,12,,ד,,,,,,,,,,,
,,126,02_Frg_2ii_א_ROI.tif:0004-0662-0785:4,2886,37.218,16,78,766,625,39,74,0.71,1.897,0.527,1,13,,ת,,,,,,,,,,,
,,127,02_Frg_2ii_א_ROI.tif:0004-0748-0588:4,990,37.991,23,65,573,732,30,33,0.784,1.1,0.909,1,14,,ם,,,,,,,,,,,
,,10,02_Frg_2ii_א_ROI.tif:0004-0946-2475:4,51554,78.399,27,118,2401,773,149,346,0.661,2.322,0.431,1,15,,ל,,,,,,,,,,,
,,11,02_Frg_2ii_א_ROI.tif:0004-1103-2414:4,18088,55.536,22,102,2355,1027,119,152,0.774,1.277,0.783,1,16,,פ,,,,,,,,,,,
,,12,02_Frg_2ii_א_ROI.tif:0004-1110-2312:4,17161,55.187,26,102,2247,1045,131,131,0.785,1,1,1,17,,נ,,,,,,,,,,,
,,13,02_Frg_2ii_א_ROI.tif:0004-1127-2242:4,18297,62.641,25,100,2189,1042,107,171,0.744,1.598,0.626,1,18,,ו,,,,,,,,,,,
,,16,02_Frg_2ii_א_ROI.tif:0004-1063-1771:4,106045,86.322,30,113,1354,1000,835,127,0.36,6.575,0.152,1,19,,־,,,,,,,,vacat,,,
,,17,02_Frg_2ii_א_ROI.tif:0004-1040-1324:4,6254,64.463,26,103,1295,987,59,106,0.722,1.797,0.557,1,20,,ו,,,,,,,,,,,
,,18,02_Frg_2ii_א_ROI.tif:0004-1043-1238:4,11834,59.441,19,117,1190,982,97,122,0.775,1.258,0.795,1,21,,ע,,,,,,,,,,,
,,19,02_Frg_2ii_א_ROI.tif:0004-1034-1153:4,16688,59.935,20,122,1097,960,112,149,0.77,1.33,0.752,1,22,,ת,,,,,,,,,,,
,,20,02_Frg_2ii_א_ROI.tif:0004-1041-1021:4,19668,60.005,19,107,955,967,132,149,0.783,1.129,0.886,1,23,,ה,,,,,,,,,,,
,,21,02_Frg_2ii_א_ROI.tif:0004-1028-0914:4,8343,84.749,21,112,874,977,81,103,0.774,1.272,0.786,1,24,, ,,,,,,,,,,,
,,22,02_Frg_2ii_א_ROI.tif:0004-1002-0803:4,18753,68.014,17,111,733,936,141,133,0.785,1.06,0.943,1,25,,ש,,,,,,,,,,,
,,128,02_Frg_2ii_א_ROI.tif:0004-1029-0715:4,1250,38.503,12,85,703,1004,25,50,0.698,2,0.5,1,26,,מ,,,,,,,,,,,
,,23,02_Frg_2ii_א_ROI.tif:0004-1438-2547:4,10425,60.502,18,109,2510,1369,75,139,0.715,1.853,0.54,1,27,,ו,,,,,,,,,,,
,,24,02_Frg_2ii_א_ROI.tif:0004-1426-2455:4,13965,58.523,23,110,2408,1353,95,147,0.749,1.547,0.646,1,28,,מ,,,,,,,,,,,
,,25,02_Frg_2ii_א_ROI.tif:0004-1436-2360:4,15984,55.119,16,105,2306,1362,108,148,0.766,1.37,0.73,1,29,,כ,,,,,,,,,,,
,,26,02_Frg_2ii_א_ROI.tif:0004-1425-2284:4,10010,58.515,23,105,2246,1360,77,130,0.734,1.688,0.592,1,30,,ו,,,,,,,,,,,
,,27,02_Frg_2ii_א_ROI.tif:0004-1252-2130:4,83725,74.568,20,110,2032,1040,197,425,0.68,2.157,0.464,1,31,,ל,,,,,,,,,,,
,,28,02_Frg_2ii_א_ROI.tif:0004-1375-2067:4,4453,73.1,24,108,2037,1339,61,73,0.779,1.197,0.836,1,32,, ,,,,,,,,,,,
,,29,02_Frg_2ii_א_ROI.tif:0004-1373-1956:4,20412,62.022,19,110,1875,1310,162,126,0.773,1.286,0.778,1,33,,ש,,,,,,,,,,,
,,30,02_Frg_2ii_א_ROI.tif:0004-1388-1801:4,17952,51.298,20,87,1733,1322,136,132,0.785,1.03,0.971,1,34,,ב,,,,,,,,,,,
,,31,02_Frg_2ii_א_ROI.tif:0004-1376-1729:4,6324,50.624,20,105,1695,1330,68,93,0.766,1.368,0.731,1,35,,י,,,,,,,,,,,
,,32,02_Frg_2ii_א_ROI.tif:0004-1225-1617:4,59520,67.345,18,110,1540,1033,155,384,0.644,2.477,0.404,1,36,,ל,,,,,,,,,,,
,,33,02_Frg_2ii_א_ROI.tif:0004-1391-1551:4,14688,50.194,17,96,1500,1319,102,144,0.763,1.412,0.708,1,37,,י,,,,,,,,,,,
,,34,02_Frg_2ii_א_ROI.tif:0004-1377-1469:4,7502,78.368,49,97,1438,1317,62,121,0.704,1.952,0.512,1,38,,,,,,,,,,,,,
,,35,02_Frg_2ii_א_ROI.tif:0004-1353-1365:4,18995,60.679,19,103,1293,1288,145,131,0.783,1.107,0.903,1,39,,ח,,,,,,,,,,,
,,36,02_Frg_2ii_א_ROI.tif:0004-1347-1226:4,17625,54.916,19,96,1164,1277,125,141,0.783,1.128,0.887,1,40,,ט,,,,,,,,,,1,
,,37,02_Frg_2ii_א_ROI.tif:0004-1312-1125:4,5850,57.102,16,97,1103,1247,45,130,0.6,2.889,0.346,1,40,,ט,,,,,,,,,,1,
,,38,02_Frg_2ii_א_ROI.tif:0004-1701-2598:4,17424,66.292,9,110,2538,1629,121,144,0.779,1.19,0.84,1,41,,ה,,,,,,,,,,,
,,39,02_Frg_2ii_א_ROI.tif:0004-1699-2461:4,17934,61.668,19,105,2388,1638,147,122,0.779,1.205,0.83,1,42,,צ,,,,,,,,,,,
,,40,02_Frg_2ii_א_ROI.tif:0004-1699-2372:4,9648,61.147,21,103,2336,1632,72,134,0.714,1.861,0.537,1,43,,י,,,,,,,,,,,
,,41,02_Frg_2ii_א_ROI.tif:0004-1678-2274:4,18432,60.04,18,98,2210,1606,128,144,0.783,1.125,0.889,1,44,,ב,,,,,,,,,,,
,,42,02_Frg_2ii_א_ROI.tif:0004-1662-2179:4,6014,75.25,44,104,2148,1614,62,97,0.747,1.565,0.639,1,45,,,,,,,,,,,,,
,,43,02_Frg_2ii_א_ROI.tif:0004-1543-2097:4,32118,58.33,20,105,2047,1384,101,318,0.575,3.149,0.318,1,46,,ל,,,,,,,,,,,
,,44,02_Frg_2ii_א_ROI.tif:0004-1658-2032:4,12480,54.495,24,116,1984,1593,96,130,0.768,1.354,0.738,1,47,,פ,,,,,,,,,,,
,,45,02_Frg_2ii_א_ROI.tif:0004-1674-1926:4,15792,63.615,23,109,1870,1604,112,141,0.775,1.259,0.794,1,48,,נ,,,,,,,,,,,
,,46,02_Frg_2ii_א_ROI.tif:0004-1668-1851:4,15400,60.54,21,106,1801,1591,100,154,0.75,1.54,0.649,1,49,,ו,,,,,,,,,,,
,,47,02_Frg_2ii_א_ROI.tif:0004-1667-1695:4,32283,83.047,49,110,1590,1591,211,153,0.765,1.379,0.725,1,50,,,,,,,,,,,,,
,,48,02_Frg_2ii_א_ROI.tif:0004-1639-1538:4,13832,56.135,18,101,1486,1573,104,133,0.774,1.279,0.782,1,51,,ו,,,,,,,,,,,
,,49,02_Frg_2ii_א_ROI.tif:0004-1615-1414:4,12078,50.192,20,97,1365,1554,99,122,0.777,1.232,0.811,1,52,,ע,,,,,,,,,,,
,,50,02_Frg_2ii_א_ROI.tif:0004-1613-1349:4,12728,56.286,20,97,1306,1539,86,148,0.73,1.721,0.581,1,53,,ר,,,,,,,,,,,
,,51,02_Frg_2ii_א_ROI.tif:0004-1544-1256:4,1156,58.352,16,96,1239,1527,34,34,0.785,1,1,1,54,,מ,,,,,,,,,,,
,,52,02_Frg_2ii_א_ROI.tif:0004-1980-2620:4,9898,63.361,22,105,2571,1930,98,101,0.785,1.031,0.97,1,55,,ב,,,,,,,,,,,
,,53,02_Frg_2ii_א_ROI.tif:0004-1984-2530:4,12446,62.184,23,105,2481,1921,98,127,0.772,1.296,0.772,1,56,,ע,,,,,,,,,,,
,,54,02_Frg_2ii_א_ROI.tif:0004-1993-2425:4,20562,67.318,24,108,2356,1919,138,149,0.784,1.08,0.926,1,57,,ד,,,,,,,,,,,
,,55,02_Frg_2ii_א_ROI.tif:0004-1974-2281:4,10500,70.671,14,103,2231,1922,100,105,0.785,1.05,0.952,1,58,,כ,,,,,,,,,,,
,,56,02_Frg_2ii_א_ROI.tif:0004-1974-2343:4,2175,78.326,59,97,2331,1931,25,87,0.545,3.48,0.287,1,59,,,,,,,,,,,,,
,,57,02_Frg_2ii_א_ROI.tif:0004-1807-2170:4,44464,75.124,20,108,2114,1609,112,397,0.539,3.545,0.282,1,60,,ל,,,,,,,,,,,
,,58,02_Frg_2ii_א_ROI.tif:0004-1965-2060:4,21895,62.68,15,102,1988,1890,145,151,0.785,1.041,0.96,1,61,,ש,,,,,,,,,,,
,,59,02_Frg_2ii_א_ROI.tif:0004-1948-1936:4,11685,50.754,18,96,1875,1901,123,95,0.772,1.295,0.772,1,62,,ב,,,,,,,,,,,
,,60,02_Frg_2ii_א_ROI.tif:0004-1969-1875:4,11644,60.15,18,108,1834,1898,82,142,0.729,1.732,0.577,1,63,,י,,,,,,,,,,,
,,121,02_Frg_2ii_א_ROI.tif:0004-1952-1809:4,5733,81.407,57,103,1785,1894,49,117,0.654,2.388,0.419,1,64,,,,,,,,,,,,,
,,61,02_Frg_2ii_א_ROI.tif:0004-1936-1754:4,5985,52.199,18,93,1723,1889,63,95,0.753,1.508,0.663,1,65,,פ,,,,,,,,,,,
,,63,02_Frg_2ii_א_ROI.tif:0004-2149-2624:4,16206,65.396,26,102,2587,2040,74,219,0.593,2.959,0.338,1,66,,ל,,,,,,,,,,,
,,64,02_Frg_2ii_א_ROI.tif:0004-2257-2553:4,9856,62.052,21,103,2509,2201,88,112,0.774,1.273,0.786,1,67,,א,,,,,,,,,,,
,,65,02_Frg_2ii_א_ROI.tif:0004-2252-2478:4,6264,67.924,24,102,2449,2198,58,108,0.714,1.862,0.537,1,68,,י,,,,,,,,,,,
,,66,02_Frg_2ii_א_ROI.tif:0004-2378-2406:4,31992,78.812,33,109,2360,2206,93,344,0.526,3.699,0.27,1,69,,ן,,,,,,,,,,,
,,120,02_Frg_2ii_א_ROI.tif:0004-2259-2316:4,6952,86.44,68,105,2272,2220,88,79,0.783,1.114,0.898,1,70,,,,,,,,,,,,,
,,67,02_Frg_2ii_א_ROI.tif:0004-2236-2189:4,22440,67.538,23,106,2107,2168,165,136,0.778,1.213,0.824,1,71,,ש,,,,,,,,,,,
,,68,02_Frg_2ii_א_ROI.tif:0004-2248-2051:4,13680,63.496,24,109,2004,2176,95,144,0.752,1.516,0.66,1,72,,ר,,,,,,,,,,,
,,69,02_Frg_2ii_א_ROI.tif:0004-2252-1955:4,29045,60.063,21,103,1877,2160,157,185,0.78,1.178,0.849,1,73,,ת,,,,,,,,,,,
,,70,02_Frg_2ii_א_ROI.tif:0004-2684-2674:4,14022,73.236,25,109,2613,2627,123,114,0.784,1.079,0.927,1,74,,מ,,,,,,,,,,,
,,71,02_Frg_2ii_א_ROI.tif:0004-2709-2559:4,17800,78.942,27,122,2509,2620,100,178,0.724,1.78,0.562,1,75,,ק,,,,,,,,,,,
,,72,02_Frg_2ii_א_ROI.tif:0004-2690-2434:4,14378,74.615,31,111,2389,2611,91,158,0.729,1.736,0.576,1,76,,ד,,,,,,,,,,,
,,73,02_Frg_2ii_א_ROI.tif:0004-2717-2202:4,67798,68.951,16,115,2093,2562,218,311,0.761,1.427,0.701,1,77,,ם,,,,,,,,,,,
,,74,02_Frg_2ii_א_ROI.tif:0004-2691-2044:4,12513,85.183,57,105,1996,2627,97,129,0.77,1.33,0.752,1,78,,,,,,,,,,,,,
,,75,02_Frg_2ii_א_ROI.tif:0004-2681-1940:4,11322,64.878,14,103,1885,2630,111,102,0.784,1.088,0.919,1,79,,ע,,,,,,,,,,,
,,76,02_Frg_2ii_א_ROI.tif:0004-2676-1857:4,7168,59.204,15,102,1825,2620,64,112,0.727,1.75,0.571,1,80,,ו,,,,,,,,,,,
,,77,02_Frg_2ii_א_ROI.tif:0004-2645-1746:4,19312,62.325,13,103,1678,2574,136,142,0.785,1.044,0.958,1,81,,ל,,,,,,,,,,,"On PAM 42382 and 43269, there is the right upper stroke of the final mem. Thus, we can read עולם. We have not included it here because the small fragment, evident in the PAMs, is now lost in the IAA image."
,,78,02_Frg_2ii_א_ROI.tif:0004-3004-2723:4,5704,48.914,14,96,2692,2958,62,92,0.756,1.484,0.674,1,82,,ו,,,,,,,,,,,
,,79,02_Frg_2ii_א_ROI.tif:0004-3006-2647:4,7344,54.167,19,110,2613,2952,68,108,0.745,1.588,0.63,1,83,,י,,,,,,,,,,,
,,80,02_Frg_2ii_א_ROI.tif:0004-3010-2507:4,15840,51.547,16,102,2447,2944,120,132,0.784,1.1,0.909,1,84,,ס,,,,,,,,,,,
,,81,02_Frg_2ii_א_ROI.tif:0004-3003-2383:4,18360,57.723,18,99,2323,2927,120,153,0.774,1.275,0.784,1,85,,ת,,,,,,,,,,,
,,122,02_Frg_2ii_א_ROI.tif:0004-2995-2163:4,9604,90.578,60,115,2114,2946,98,98,0.785,1,1,1,86,,,,,,,,,,,,,
,,82,02_Frg_2ii_א_ROI.tif:0004-3006-2266:4,16241,57.018,15,106,2212,2932,109,149,0.767,1.367,0.732,1,87,,ר,,,,,,,,,,,
,,83,02_Frg_2ii_א_ROI.tif:0004-2985-2052:4,14145,72.748,21,119,1991,2928,123,115,0.785,1.07,0.935,1,88,,א,,,,,,,,,,,
,,84,02_Frg_2ii_א_ROI.tif:0004-2965-1936:4,16698,61.504,17,112,1876,2896,121,138,0.782,1.14,0.877,1,89,,ת,,,,,,,,,,,
,,85,02_Frg_2ii_א_ROI.tif:0004-3235-2769:4,8448,45.606,14,94,2725,3187,88,96,0.784,1.091,0.917,1,90,,ו,,,,,,,,,,,
,,86,02_Frg_2ii_א_ROI.tif:0004-3246-2661:4,17423,50.009,14,101,2595,3181,133,131,0.785,1.015,0.985,1,91,,מ,,,,,,,,,,,
,,87,02_Frg_2ii_א_ROI.tif:0004-3256-2510:4,19965,51.517,16,102,2428,3196,165,121,0.767,1.364,0.733,1,92,,ס,,,,,,,,,,,
,,88,02_Frg_2ii_א_ROI.tif:0004-3272-2379:4,10502,53.774,13,107,2335,3213,89,118,0.77,1.326,0.754,1,93,,פ,,,,,,,,,,,
,,89,02_Frg_2ii_א_ROI.tif:0004-3268-2262:4,21823,58.005,10,113,2193,3190,139,157,0.782,1.129,0.885,1,94,,ר,,,,,,,,,,,
,,123,02_Frg_2ii_א_ROI.tif:0004-3324-2121:4,12441,65.645,8,107,2050,3281,143,87,0.739,1.644,0.608,1,95,,,,,,,,,,,,,
,,90,02_Frg_2ii_א_ROI.tif:0004-3340-2016:4,5092,54.961,13,103,1983,3302,67,76,0.782,1.134,0.882,1,96,,◦,א,,,,,,,,,,
,,91,02_Frg_2ii_א_ROI.tif:0004-3322-1932:4,11680,58.669,17,100,1892,3249,80,146,0.718,1.825,0.548,1,97,,◦,ת,,,,,,,,,,
,,92,02_Frg_2ii_א_ROI.tif:0004-3384-1853:4,7980,49.653,16,102,1806,3342,95,84,0.782,1.131,0.884,1,98,,◦,פ,,,,,,,,,,
,,93,02_Frg_2ii_א_ROI.tif:0004-3392-1706:4,5074,52.433,10,113,1677,3349,59,86,0.758,1.458,0.686,1,99,,◦,ו,,,,,,,,,,
,,94,02_Frg_2ii_א_ROI.tif:0004-3516-2727:4,10200,55.208,20,101,2677,3465,100,102,0.785,1.02,0.98,1,100,,ע,,,,,,,,,,,
,,95,02_Frg_2ii_א_ROI.tif:0004-3536-2599:4,20304,58.566,17,108,2529,3464,141,144,0.785,1.021,0.979,1,101,,ד,,,,,,,,,,,
,,96,02_Frg_2ii_א_ROI.tif:0004-3572-2452:4,21098,83.499,55,120,2375,3504,154,137,0.783,1.124,0.89,1,102,,,,,,,,,,,,,
,,97,02_Frg_2ii_א_ROI.tif:0004-3592-2308:4,21546,60.513,11,106,2242,3511,133,162,0.778,1.218,0.821,1,103,,מ,,,,,,,,,,,
,,98,02_Frg_2ii_א_ROI.tif:0004-3647-2173:4,30888,61.698,14,109,2095,3548,156,198,0.774,1.269,0.788,1,104,,ה,,,,,,,,,,,"The shape of the left ascender is odd for a heh. There appears some sort of damage, but it does not appear as though the scribe was changing the letter for any reason."
,,99,02_Frg_2ii_א_ROI.tif:0004-3804-2780:4,29082,68.059,15,110,2715,3693,131,222,0.733,1.695,0.59,1,105,,ק,,,,,,,,,,,
,,100,02_Frg_2ii_א_ROI.tif:0004-3773-2643:4,12834,75.287,23,116,2597,3704,93,138,0.756,1.484,0.674,1,106,,ר,,,,,,,,,,,
,,101,02_Frg_2ii_א_ROI.tif:0004-3785-2544:4,9750,73.032,19,105,2505,3723,78,125,0.743,1.603,0.624,1,107,,י,,,,,,,,,,,
,,102,02_Frg_2ii_א_ROI.tif:0004-3799-2419:4,18304,65.411,21,112,2355,3728,128,143,0.783,1.117,0.895,1,108,,א,,,,,,,,,,,
,,103,02_Frg_2ii_א_ROI.tif:0004-3828-2324:4,10414,67.616,18,111,2283,3765,82,127,0.749,1.549,0.646,1,109,,י,,,,,,,,,,,
,,104,02_Frg_2ii_א_ROI.tif:0004-3869-2167:4,44526,53.786,9,102,2044,3779,246,181,0.767,1.359,0.736,1,110,,ם,,,,,,,,,,,
,,105,02_Frg_2ii_א_ROI.tif:0004-4086-2847:4,24716,57.789,14,105,2773,4003,148,167,0.783,1.128,0.886,1,111,,מ,,,,,,,,,,,
,,106,02_Frg_2ii_א_ROI.tif:0004-4112-2731:4,11256,50.076,14,100,2689,4045,84,134,0.744,1.595,0.627,1,112,,ז,,,,,,,,,,,
,,107,02_Frg_2ii_א_ROI.tif:0004-4130-2677:4,4240,35.936,10,78,2657,4077,40,106,0.625,2.65,0.377,1,113,,ר,,,,,,,,,,,
,,108,02_Frg_2ii_א_ROI.tif:0004-4372-2909:4,23226,51.958,13,103,2830,4299,158,147,0.784,1.075,0.93,1,114,,ב,,,,,,,,,,,
,,109,02_Frg_2ii_א_ROI.tif:0004-4376-2804:4,14194,52.298,17,109,2757,4301,94,151,0.743,1.606,0.623,1,115,,פ,,,,,,,,,,,
,,110,02_Frg_2ii_א_ROI.tif:0004-4371-2666:4,24940,67.164,16,115,2594,4285,145,172,0.78,1.186,0.843,1,116,,ר,,,,,,,,,,,
,,111,02_Frg_2ii_א_ROI.tif:0004-4374-2521:4,10800,54.516,13,120,2471,4320,100,108,0.784,1.08,0.926,1,117,,ו,,,,,,,,,,,
,,112,02_Frg_2ii_א_ROI.tif:0004-4407-2336:4,32922,68.534,13,125,2243,4319,186,177,0.785,1.051,0.952,1,118,,ש,,,,,,,,,,,
,,124,02_Frg_2ii_א_ROI.tif:0004-4393-2145:4,28080,99.181,15,126,2048,4321,195,144,0.768,1.354,0.738,1,119,,,,,,,,,,,,,
,,114,02_Frg_2ii_א_ROI.tif:0004-4396-1919:4,51657,69.401,14,133,1791,4296,257,201,0.774,1.279,0.782,1,120,,ש,,,,,,,,,,,
