id,sqe_master_id,roi_id,image_id_damascus,Area,Mean,Min,Max,BX,BY,Width,Height,Circ.,AR,Round,Solidity,reading_Order,reading_Order_Alt,uni_He_0,uni_He_1,uni_He_2,uni_He_3,uni_He_4,uni_He_5,line_ID,line_ID_Alt,attr_0,attr_1,is_Joined,commentary
,,1,Stack:0001-2437-4125:1,425,57.984,32,89,4117,2425,17,25,0.757,1.471,0.68,1,1,,◦,ש,,,,,,,,,,
,,2,Stack:0001-2436-4075:1,1840,66.139,26,99,4055,2413,40,46,0.782,1.15,0.87,1,2,,◦,ר,,,,,,,,,,
,,3,Stack:0001-2657-4242:1,806,35.548,20,53,4227,2644,31,26,0.779,1.192,0.839,1,3,,מ,,,,,,,,,,1,A piece has since broken off the fragment (cf. PAM 43269). This makes a reading of mem probable.
,,4,Stack:0001-2702-4275:1,864,25.069,13,55,4259,2689,32,27,0.78,1.185,0.844,1,3,,מ,,,,,,,,,,1,
,,5,Stack:0001-2644-4193:1,10125,42.483,13,95,4153,2582,81,125,0.75,1.543,0.648,1,4,,י,,,,,,,,,,,
,,6,Stack:0001-2690-4049:1,45140,66.389,11,106,3957,2568,185,244,0.771,1.319,0.758,1,5,,ם,,,,,,,,,,,
,,7,Stack:0001-2736-3671:1,6225,38.558,10,101,3630,2699,83,75,0.783,1.107,0.904,1,6,,כ,,,,,,,,,,,
,,33,02_Frg_2ii_ב_ROI.tif:0001-2735-3647:1,2244,31.409,13,80,3631,2701,33,68,0.691,2.061,0.485,1,7,,ל,,,,,,,,,,1,
,,8,Stack:0001-2670-3546:1,594,57.175,26,89,3533,2659,27,22,0.777,1.227,0.815,1,8,,ל,,,,,,,,,,1,"RECHECK: The character after a beth/kaf, how often does the scribe ligaturize these to join with the bottom of the beth/kaf. ROI#8 seems to be the trace of the middle horizontal branch of the Lamed, and thus connects with ROI#33. There are other occassions of the orthographical form of כל in Ktiv Cheser (cf. 4Q266 f 2 ii,5; f 5 i,18; f 6 iv,2)"
,,9,Stack:0001-2699-3465:1,10519,50.3,13,95,3432,2621,67,157,0.659,2.343,0.427,1,9,,◦,ד,,,,,,,,,,
,,10,Stack:0001-2705-3355:1,350,38.414,17,84,3343,2698,25,14,0.723,1.786,0.56,1,10,,◦,ר,,,,,,,,,,
,,11,Stack:0001-2643-3213:1,8308,42.4,8,98,3146,2612,134,62,0.679,2.161,0.463,1,11,,כ,כ,ב,,,,,,,,,
,,12,Stack:0001-3018-4369:1,19090,56.019,13,104,4312,2935,115,166,0.76,1.443,0.693,1,12,,ג,,,,,,,,,,,
,,13,Stack:0001-3004-4255:1,18447,54.239,13,104,4191,2933,129,143,0.783,1.109,0.902,1,13,,ב,,,,,,,,,,,
,,14,Stack:0001-2995-4176:1,9401,50.935,11,100,4136,2936,79,119,0.753,1.506,0.664,1,14,,ו,,,,,,,,,,,
,,15,Stack:0001-2991-4085:1,15423,60.233,14,107,4037,2912,97,159,0.739,1.639,0.61,1,15,,ר,,,,,,,,,,,
,,16,Stack:0001-2976-3989:1,9504,50.168,12,95,3953,2910,72,132,0.717,1.833,0.545,1,16,,י,,,,,,,,,,,
,,17,Stack:0001-2974-3869:1,21700,53.284,13,97,3799,2897,140,155,0.783,1.107,0.903,1,17,,ח,,,,,,,,,,,
,,18,Stack:0001-2958-3746:1,12665,51.326,12,105,3704,2884,85,149,0.727,1.753,0.57,1,18,,י,,,,,,,,,,,
,,19,Stack:0001-2948-3620:1,19080,58.327,14,108,3560,2869,120,159,0.77,1.325,0.755,1,19,,ל,,,,,,,,,,,
,,20,Stack:0001-2972-3426:1,27604,84.621,26,111,3292,2921,268,103,0.63,2.602,0.384,1,20,,   ,,,,,,,,,,,
,,21,Stack:0001-2963-3268:1,5264,51.281,14,98,3245,2907,47,112,0.654,2.383,0.42,1,21,,נ,,,,,,,,,,,
,,22,Stack:0001-2947-3145:1,17856,47.468,11,101,3073,2885,144,124,0.781,1.161,0.861,1,22,,כ,,,,,,,,,,,
,,23,Stack:0001-2897-3069:1,693,43.365,18,81,3059,2881,21,33,0.747,1.571,0.636,1,23,,ש,,,,,,,,,,,
,,25,Stack:0001-3315-4391:1,9758,51.788,12,95,4350,3256,82,119,0.759,1.451,0.689,1,24,,ע,,,,,,,,,,,
,,26,Stack:0001-3316-4292:1,8875,56.956,16,97,4257,3254,71,125,0.726,1.761,0.568,1,25,,י,,,,,,,,,,,
,,27,Stack:0001-3310-4194:1,14256,63.625,18,100,4145,3238,99,144,0.758,1.455,0.688,1,26,,ר,,,,,,,,,,,
,,28,Stack:0001-3295-4095:1,10248,55.502,14,101,4053,3234,84,122,0.759,1.452,0.689,1,27,,י,,,,,,,,,,,
,,29,Stack:0001-3247-3920:1,3075,51.413,17,94,3900,3207,41,75,0.718,1.829,0.547,1,28,,ה,,,,,,,,,,1,
,,30,Stack:0001-3259-3880:1,1155,50.544,23,86,3864,3242,33,35,0.785,1.061,0.943,1,28,,ה,,,,,,,,,,1,
,,32,Stack:0001-3293-3997:1,7840,65.959,11,104,3941,3258,112,70,0.744,1.6,0.625,1,29,,   ,,,,,,,,,,,
,,24,Stack:0001-3186-4430:1,154,59.266,38,87,4425,3179,11,14,0.774,1.273,0.786,1,,,◦,,,,,,,,scriabl mark,,,
,,31,Stack:0001-3164-3628:1,532,62.32,29,90,3614,3155,28,19,0.757,1.474,0.679,1,,,◦,,,,,,,,scriabl mark,,,
