id,sqe_master_id,roi_id,image_id_damascus,Area,Mean,Min,Max,BX,BY,Width,Height,Circ.,AR,Round,Solidity,reading_Order,reading_Order_Alt,uni_He_0,uni_He_1,uni_He_2,uni_He_3,uni_He_4,uni_He_5,line_ID,line_ID_Alt,attr_0,attr_1,is_Joined,commentary
,,3,02_Frg_3ii_a.tif:2043-4435-3:1,3621,54.893,13,119,4410,2008,51,71,0.764,1.392,0.718,1,1,,◦,,,,,,1,,scribal mark,,,"deletion of a character which is no longer visible, and hence it cannot be joined. In this case, it is an interpretation."
,,1,02_Frg_3ii_a.tif:1951-4350-1:1,19065,53.189,8,112,4289,1874,123,155,0.775,1.26,0.794,1,2,,כ,,,,,,1,,,,,
,,2,02_Frg_3ii_a.tif:1942-4275-2:1,10080,59.592,13,116,4240,1870,70,144,0.691,2.057,0.486,1,3,,ו,,,,,,1,,,,,
,,4,02_Frg_3ii_a.tif:2193-4659-4:1,5472,72.188,8,125,4631,2145,57,96,0.734,1.684,0.594,1,4,,ו,,,,,,2,,,,,
,,5,02_Frg_3ii_a.tif:2186-4579-5:1,12920,77.803,8,126,4532,2118,95,136,0.761,1.432,0.699,1,5,,נ,,,,,,2,,,,,
,,6,02_Frg_3ii_a.tif:2185-4503-6:1,14534,78.099,14,124,4460,2101,86,169,0.702,1.965,0.509,1,6,,י,,,,,,2,,,,,
,,7,02_Frg_3ii_a.tif:2210-4365-7:1,45114,68.55,11,114,4262,2101,206,219,0.785,1.063,0.941,1,7,,ם,,,,,,2,,,,,
,,9,02_Frg_3ii_a.tif:2175-4145-9:1,26329,107.653,70,124,4029,2119,233,113,0.691,2.062,0.485,1,8,,   ,,,,,,2,,,,,
,,8,02_Frg_3ii_a.tif:2142-3981-8:1,12096,62.439,7,121,3933,2079,96,126,0.771,1.312,0.762,1,9,,ב,,,,,,2,,,,,RECHECK the shape is bit strange for a bet
,,10,02_Frg_3ii_a.tif:2165-3696-10:1,10881,70.848,10,122,3650,2107,93,117,0.775,1.258,0.795,1,10,,צ,,,,,,2,,,,,
,,11,02_Frg_3ii_a.tif:2147-3604-11:1,7392,79.808,10,124,3562,2103,84,88,0.785,1.048,0.955,1,11,,י,,,,,,2,,,,,
,,12,02_Frg_3ii_a.tif:2156-3528-12:1,2400,68.514,11,119,3508,2126,40,60,0.754,1.5,0.667,1,12,,ה,,,,,,2,,,,1_0,
,,13,02_Frg_3ii_a.tif:2169-3434-13:1,1480,53.296,10,110,3416,2149,37,40,0.784,1.081,0.925,1,12,,ה,,,,,,2,,,,1_0,
,,14,02_Frg_3ii_a.tif:2488-4644-14:1,10788,66.793,7,109,4613,2401,62,174,0.609,2.806,0.356,1,13,,ח,,,,,,3,,,,,
,,15,02_Frg_3ii_a.tif:2566-4501-15:1,50958,68.572,17,116,4416,2417,171,298,0.728,1.743,0.574,1,14,,ץ,,,,,,3,,,,,
,,16,02_Frg_3ii_a.tif:2514-4301-16:1,35650,78.621,50,106,4186,2437,230,155,0.756,1.484,0.674,1,15,,   ,,,,,,3,,,,,
,,17,02_Frg_3ii_a.tif:2444-4129-17:1,16188,36.594,13,85,4072,2373,114,142,0.776,1.246,0.803,1,16,,כ,,,,,,3,,,,,
,,18,02_Frg_3ii_a.tif:2448-4037-18:1,9828,35.849,12,89,3995,2390,84,117,0.764,1.393,0.718,1,17,,י,,,,,,3,,,,,
,,19,02_Frg_3ii_a.tif:2433-3934-19:1,12322,72.642,32,104,3873,2383,122,101,0.778,1.208,0.828,1,18,,   ,,,,,,3,,,,,
,,20,02_Frg_3ii_a.tif:2307-3815-20:1,30096,54.145,10,119,3758,2175,114,264,0.662,2.316,0.432,1,19,,ל,,,,,,3,,,,1,
