id,sqe_master_id,roi_id,image_id_damascus,Area,Mean,Min,Max,BX,BY,Width,Height,Circ.,AR,Round,Solidity,reading_Order,reading_Order_Alt,uni_He_0,uni_He_1,uni_He_2,uni_He_3,uni_He_4,uni_He_5,line_ID,line_ID_Alt,attr_0,attr_1,is_Joined,commentary
2,,,02_Frg_3ii_b_א_ROI.tif:1920-4869:2,15351,64.017,18,103,4805,1861,129,119,0.784,1.084,0.922,1,1,,א,,,,,,1,,,,,
1,,,02_Frg_3ii_b_א_ROI.tif:1915-4764:2,29540,76.068,14,112,4694,1810,140,211,0.753,1.507,0.664,1,2,,ת,,,,,,1,,,,,
3,,,02_Frg_3ii_b_א_ROI.tif:1883-4547:2,13108,70.629,24,118,4489,1827,116,113,0.785,1.027,0.974,1,3,,מ,,,,,,1,,,,,
4,,,02_Frg_3ii_b_א_ROI.tif:1859-4451:2,5312,71.441,16,109,4410,1827,83,64,0.772,1.297,0.771,1,4,,ע,,,,,,1,,,,,
5,,,02_Frg_3ii_b_א_ROI.tif:1862-4189:2,1872,65.827,26,103,4170,1838,39,48,0.777,1.231,0.813,1,5,,י,,,,,,1,,,,,
6,,,02_Frg_3ii_b_א_ROI.tif:1865-4119:2,6708,50.659,14,100,4093,1801,52,129,0.643,2.481,0.403,1,6,,ה,,,,,,1,,,,,
7,,,02_Frg_3ii_b_א_ROI.tif:2172-4912:2,2376,55.234,14,99,4894,2139,36,66,0.717,1.833,0.545,1,7,,ד,,,,,,2,,,,1,
8,,,02_Frg_3ii_b_א_ROI.tif:2152-4843:2,2288,64.819,28,95,4821,2126,44,52,0.78,1.182,0.846,1,8,,ד,,,,,,2,,,,1,
9,,,02_Frg_3ii_b_א_ROI.tif:2174-4654:2,12741,71.128,15,107,4608,2106,93,137,0.757,1.473,0.679,1,9,,ה,,,,,,2,,,,,see file: /Users/jamestucker/Dropbox/SQE/Damascus/project-website/resources/edition/4Q266/Frg_3ii/Frg_3ii_b/Frg_3ii_b_א/Note-Sign-14.rtf
10,,,02_Frg_3ii_b_א_ROI.tif:2138-4555:2,15290,70.616,20,117,4500,2069,110,139,0.775,1.264,0.791,1,10,,ע,,,,,,2,,,,,
11,,,02_Frg_3ii_b_א_ROI.tif:2145-4423:2,18908,71.373,18,115,4365,2064,116,163,0.763,1.405,0.712,1,11,,צ,,,,,,2,,,,,
13,,,02_Frg_3ii_b_א_ROI.tif:2137-4322:2,21844,53.34,18,111,4259,2051,127,172,0.768,1.354,0.738,1,12,,ו,,,,,,2,,,,,
12,,,02_Frg_3ii_b_א_ROI.tif:2116-4194:2,43485,71.668,16,115,4098,2005,195,223,0.782,1.144,0.874,1,13,,ת,ה,,,,,2,,,,,
14,,,02_Frg_3ii_b_א_ROI.tif:2458-4871:2,2132,66.844,33,100,4830,2445,82,26,0.574,3.154,0.317,1,14,,ר,,,,,,3,,,,,
15,,,02_Frg_3ii_b_א_ROI.tif:2475-4785:2,7446,60.829,17,105,4749,2424,73,102,0.764,1.397,0.716,1,15,,ו,,,,,,3,,,,,
16,,,02_Frg_3ii_b_א_ROI.tif:2587-4717:2,18810,76.868,17,124,4684,2445,66,285,0.48,4.318,0.232,1,16,,ן,,,,,,3,,,,,
17,,,02_Frg_3ii_b_א_ROI.tif:2512-4629:2,4510,90.806,18,121,4574,2492,110,41,0.621,2.683,0.373,1,17,,   ,,,,,,3,,,,,
18,,,02_Frg_3ii_b_א_ROI.tif:2452-4506:2,23625,79.063,24,115,4439,2365,135,175,0.772,1.296,0.771,1,18,,ב,,,,,,3,,,,,
19,,,02_Frg_3ii_b_א_ROI.tif:2441-4395:2,14094,75.141,19,111,4352,2360,87,162,0.714,1.862,0.537,1,19,,י,,,,,,3,,,,,
