id,sqe_master_id,roi_id,image_id_damascus,Area,Mean,Min,Max,BX,BY,Width,Height,Circ.,AR,Round,Solidity,reading_Order,reading_Order_Alt,uni_He_0,uni_He_1,uni_He_2,uni_He_3,uni_He_4,uni_He_5,line_ID,line_ID_Alt,attr_0,attr_1,is_Joined,commentary
,,1,02_Frg_3ii_b_ב_ROI.tif:2158-4567:P699-Fg004-R-C01-R01-D06012014-T100642-LR924 _012,1298,74,23,103,4556,2129,22,59,0.622,3,0.373,1,1,1,ת,,,,,,1,,,1,,See את on Frg_3ii_b_א
,,2,02_Frg_3ii_b_ב_ROI.tif:2168-4493:P699-Fg004-R-C01-R01-D06012014-T100642-LR924 _012,648,57,33,86,4475,2159,36,18,0.698,2,0.5,1,1,1,ת,,,,,,1,,,1,,See את on Frg_3ii_b_א
,,3,02_Frg_3ii_b_ב_ROI.tif:2082-4169:P699-Fg004-R-C01-R01-D06012014-T100642-LR924 _012,11526,69,9,124,4113,2031,113,102,0.783,1,0.903,1,2,2,ש,,,,,,1,,,,,
,,4,02_Frg_3ii_b_ב_ROI.tif:2090-4033:P699-Fg004-R-C01-R01-D06012014-T100642-LR924 _012,15470,87,21,128,3974,2025,119,130,0.784,1,0.915,1,3,3,ר,,,,,,1,,,,,
,,5,02_Frg_3ii_b_ב_ROI.tif:2087-3902:P699-Fg004-R-C01-R01-D06012014-T100642-LR924 _012,19162,88,19,128,3835,2016,134,143,0.785,1,0.937,1,4,4,א,,,,,,1,,,,,
,,73,02_Frg_3ii_b_ב_ROI.tif:2101-3729:P699-Fg004-R-C01-R01-D06012014-T100642-LR924 _012,22464,87,14,126,3651,2029,156,144,0.784,1,0.923,1,5,5,ל,,,,,,1,,,,,
,,77,02_Frg_3ii_b_ב_ROI.tif:2129-3261:P699-Fg004-R-C01-R01-D06012014-T100642-LR924 _012,1472,59,25,110,3238,2113,46,32,0.76,1,0.696,1,6,6,א,,,,,,1,,,1,,
,,78,02_Frg_3ii_b_ב_ROI.tif:2121-3208:P699-Fg004-R-C01-R01-D06012014-T100642-LR924 _012,840,75,44,111,3193,2107,30,28,0.784,1,0.933,1,6,6,א,,,,,,1,,,1,,
,,76,02_Frg_3ii_b_ב_ROI.tif:2147-3113:P699-Fg004-R-C01-R01-D06012014-T100642-LR924 _012,1872,74,34,115,3144,2114,39,48,0.777,1,0.813,1,7,7,ח,,,,,,1,,,1,,
,,79,02_Frg_3ii_b_ב_ROI.tif:2138-3163:P699-Fg004-R-C01-R01-D06012014-T100642-LR924 _012,4550,70,25,121,3044,2100,50,91,0.719,2,0.549,1,7,7,ח,,,,,,1,,,1,,
