id,sqe_master_id,roi_id,image_id_damascus,Area,Mean,Min,Max,BX,BY,Width,Height,Circ.,AR,Round,Solidity,reading_Order,reading_Order_Alt,uni_He_0,uni_He_1,uni_He_2,uni_He_3,uni_He_4,uni_He_5,line_ID,line_ID_Alt,attr_0,attr_1,is_Joined,commentary
,,1,02_Frg_3ii_c_ROI.tif:2432-4322:P699-Fg005-R-C01-R01-D06012014-T101340-LR445 _ColorCalData_I,60,95.7,76,119,4317,2429,10,6,0.736,1.667,0.6,1,1,,◦,י,,,,,1,,damaged,,,
,,2,02_Frg_3ii_c_ROI.tif:2470-4239:P699-Fg005-R-C01-R01-D06012014-T101340-LR445 _ColorCalData_I,36423,93.471,47,142,4154,2364,171,213,0.776,1.246,0.803,1,2,,ת,,,,,,1,,,,,
,,3,02_Frg_3ii_c_ROI.tif:2485-4099:P699-Fg005-R-C01-R01-D06012014-T101340-LR445 _ColorCalData_I,8316,104.515,77,135,4046,2447,108,77,0.763,1.403,0.713,1,3,,   ,,,,,,1,,,,,
,,4,02_Frg_3ii_c_ROI.tif:2418-3985:P699-Fg005-R-C01-R01-D06012014-T101340-LR445 _ColorCalData_I,28556,104.25,30,197,3925,2300,121,236,0.704,1.95,0.513,1,4,,ל,,,,,,1,,,,,
,,5,02_Frg_3ii_c_ROI.tif:2474-3913:P699-Fg005-R-C01-R01-D06012014-T101340-LR445 _ColorCalData_I,17484,97.78,61,197,3843,2412,141,124,0.782,1.137,0.879,1,5,,ב,,,,,,1,,damaged,,,
,,6,02_Frg_3ii_c_ROI.tif:2396-3776:P699-Fg005-R-C01-R01-D06012014-T101340-LR445 _ColorCalData_I,23940,119.799,45,189,3713,2301,126,190,0.753,1.508,0.663,1,6,,ל,,,,,,1,,damaged,,,
,,7,02_Frg_3ii_c_ROI.tif:2781-4474:P699-Fg005-R-C01-R01-D06012014-T101340-LR445 _ColorCalData_I,34320,110.067,49,182,4377,2693,195,176,0.783,1.108,0.903,1,7,,ש,,,,,,2,,damaged,,,
,,8,02_Frg_3ii_c_ROI.tif:2776-4309:P699-Fg005-R-C01-R01-D06012014-T101340-LR445 _ColorCalData_I,26368,91.968,18,143,4245,2673,128,206,0.743,1.609,0.621,1,8,,ר,,,,,,2,,,,,
,,9,02_Frg_3ii_c_ROI.tif:2738-4205:P699-Fg005-R-C01-R01-D06012014-T101340-LR445 _ColorCalData_I,7280,98.749,79,130,4165,2693,80,91,0.782,1.137,0.879,1,9,,   ,,,,,,2,,,,,
,,10,02_Frg_3ii_c_ROI.tif:2742-4106:P699-Fg005-R-C01-R01-D06012014-T101340-LR445 _ColorCalData_I,15093,94.306,52,158,4048,2678,117,129,0.784,1.103,0.907,1,10,,א,,,,,,2,,damaged,,1,
,,19,02_Frg_3ii_c_ROI.tif:2731-3958:P699-Fg005-R-C01-R01-D06012014-T101340-LR445 _ColorCalData_I,5037,76.573,55,116,3922,2697,73,69,0.785,1.058,0.945,1,10,,א,,,,,,2,,damaged,,1,
,,18,02_Frg_3ii_c_ROI.tif:2697-3900:P699-Fg005-R-C01-R01-D06012014-T101340-LR445 _ColorCalData_I,18900,78.616,52,145,3830,2630,140,135,0.785,1.037,0.964,1,11,,מ,,,,,,2,,damaged,,1,
,,21,02_Frg_3ii_c_ROI.tif:2685-3999:P699-Fg005-R-C01-R01-D06012014-T101340-LR445 _ColorCalData_I,99,85.939,57,112,3994,2681,11,9,0.778,1.222,0.818,1,11,,מ,,,,,,2,,damaged,,1,
,,20,02_Frg_3ii_c_ROI.tif:2738-3807:P699-Fg005-R-C01-R01-D06012014-T101340-LR445 _ColorCalData_I,12180,79.472,49,175,3764,2668,87,140,0.743,1.609,0.621,1,12,,ר,,,,,,2,,damaged,,,
,,11,02_Frg_3ii_c_ROI.tif:2857-4415:P699-Fg005-R-C01-R01-D06012014-T101340-LR445 _ColorCalData_I,10360,97.411,57,171,4380,2783,70,148,0.685,2.114,0.473,1,13,,ל,,,,,,3,,damaged,,,
,,12,02_Frg_3ii_c_ROI.tif:2978-4189:P699-Fg005-R-C01-R01-D06012014-T101340-LR445 _ColorCalData_I,12508,84.179,41,184,4136,2919,106,118,0.783,1.113,0.898,1,14,,א,,,,,,3,,damaged,,,
