id,sqe_master_id,roi_id,image_id_damascus,Area,Mean,Min,Max,BX,BY,Width,Height,Circ.,AR,Round,Solidity,reading_Order,reading_Order_Alt,uni_He_0,uni_He_1,uni_He_2,uni_He_3,uni_He_4,uni_He_5,line_ID,line_ID_Alt,attr_0,attr_1,is_Joined,commentary
,,1,02_Frg_3ii_d_ROI.tif:2129-4381:P699-Fg006-R-C01-R01-D06012014-T102226-LR445 _ColorCalData_I,1290,104.55,67,153,4360,2114,43,30,0.76,1.433,0.698,1,1,,◦,,,,,,,,damaged,,,"Baumgarten does not see this sign, evident by the previous line consisting entirely of a reconstruction."
,,2,02_Frg_3ii_d_ROI.tif:2285-5001:P699-Fg006-R-C01-R01-D06012014-T102226-LR445 _ColorCalData_I,17940,105.294,31,160,4944,2207,115,156,0.767,1.357,0.737,1,2,,כ,,,,,,,,,,,
,,3,02_Frg_3ii_d_ROI.tif:2279-4919:P699-Fg006-R-C01-R01-D06012014-T102226-LR445 _ColorCalData_I,12782,110.002,59,179,4881,2196,77,166,0.68,2.156,0.464,1,3,,ו,,,,,,,,,,,
,,4,02_Frg_3ii_d_ROI.tif:2241-4806:P699-Fg006-R-C01-R01-D06012014-T102226-LR445 _ColorCalData_I,15842,116.687,61,185,4762,2152,89,178,0.698,2,0.5,1,4,,ל,,,,,,,,damaged,,,
,,6,02_Frg_3ii_d_ROI.tif:2263-4715:P699-Fg006-R-C01-R01-D06012014-T102226-LR445 _ColorCalData_I,6975,125.609,92,149,4669,2226,93,75,0.776,1.24,0.806,1,5,,   ,,,,,,,,,,,
,,5,02_Frg_3ii_d_ROI.tif:2275-4593:P699-Fg006-R-C01-R01-D06012014-T102226-LR445 _ColorCalData_I,19912,94.074,56,138,4517,2210,152,131,0.781,1.16,0.862,1,6,,א,,,,,,,,,,,
,,7,02_Frg_3ii_d_ROI.tif:2278-4349:P699-Fg006-R-C01-R01-D06012014-T102226-LR445 _ColorCalData_I,30590,105.813,56,160,4254,2198,190,161,0.78,1.18,0.847,1,7,,ש,,,,,,,,damaged,,,
,,8,02_Frg_3ii_d_ROI.tif:2297-4183:P699-Fg006-R-C01-R01-D06012014-T102226-LR445 _ColorCalData_I,20296,94.568,47,149,4124,2211,118,172,0.758,1.458,0.686,1,8,,ר,,,,,,,,damaged,,,
,,12,02_Frg_3ii_d_ROI.tif:2320-4049:P699-Fg006-R-C01-R01-D06012014-T102226-LR445 _ColorCalData_I,9387,92.22,67,130,3975,2289,149,63,0.656,2.365,0.423,1,9,,   ,,,,,,,,,,1_2,
,,9,02_Frg_3ii_d_ROI.tif:2306-3896:P699-Fg006-R-C01-R01-D06012014-T102226-LR445 _ColorCalData_I,24806,90.466,53,153,3818,2227,157,158,0.785,1.006,0.994,1,10,,ה,,,,,,,,damaged,,,
,,10,02_Frg_3ii_d_ROI.tif:2283-3785:P699-Fg006-R-C01-R01-D06012014-T102226-LR445 _ColorCalData_I,12087,98.772,59,162,3746,2207,79,153,0.705,1.937,0.516,1,11,,ו,,,,,,,,,,,
,,13,02_Frg_3ii_d_ROI.tif:2348-3554:P699-Fg006-R-C01-R01-D06012014-T102226-LR445 _ColorCalData_I,846,84.369,62,125,3545,2325,18,47,0.629,2.611,0.383,1,12,,◦,א,ב,,,,,,damaged,,1_1,
,,14,02_Frg_3ii_d_ROI.tif:2285-3482:P699-Fg006-R-C01-R01-D06012014-T102226-LR445 _ColorCalData_I,2331,81.854,57,131,3464,2254,37,63,0.732,1.703,0.587,1,12,,◦,א,,,,,,,damaged,,1_1,
,,17,02_Frg_3ii_d_ROI.tif:2581-4936:P699-Fg006-R-C01-R01-D06012014-T102226-LR445 _ColorCalData_I,45144,113.691,59,171,4837,2467,198,228,0.782,1.152,0.868,1,15,,א,ת,,,,,,,,,,
,,18,02_Frg_3ii_d_ROI.tif:2570-4746:P699-Fg006-R-C01-R01-D06012014-T102226-LR445 _ColorCalData_I,27482,114.605,69,154,4655,2495,182,151,0.779,1.205,0.83,1,16,,   ,,,,,,,,,,,
,,19,02_Frg_3ii_d_ROI.tif:2540-4582:P699-Fg006-R-C01-R01-D06012014-T102226-LR445 _ColorCalData_I,22776,91.779,18,149,4509,2462,146,156,0.785,1.068,0.936,1,17,,מ,,,,,,,,damaged,,,
,,20,02_Frg_3ii_d_ROI.tif:2543-4443:P699-Fg006-R-C01-R01-D06012014-T102226-LR445 _ColorCalData_I,25519,89.303,58,151,4359,2468,169,151,0.783,1.119,0.893,1,18,,ס,,,,,,,,,,,
