id,sqe_master_id,roi_id,image_id_damascus,Area,Mean,Min,Max,BX,BY,Width,Height,Circ.,AR,Round,Solidity,reading_Order,reading_Order_Alt,uni_He_0,uni_He_1,uni_He_2,uni_He_3,uni_He_4,uni_He_5,line_ID,line_ID_Alt,attr_0,attr_1,is_Joined,commentary
,,1,02_Frg_3ii_e_ROI.tif:2356-3977-1:P689-Fg055-R-C01-R01-D27012015-T151302-ML924 _012,14168,37.621,6,82,3931,2279,92,154,0.736,1.674,0.597,1,1,,ש,,,,,,,,,,,"IAA image is difficult to read. On PAM 43278_55, the sign is more visible. In which case, the aspect of the sign does cohere with the scribal idiography of shin."
,,2,02_Frg_3ii_e_ROI.tif:2397-3668-2:P689-Fg055-R-C01-R01-D27012015-T151302-ML924 _012,5775,32.56,6,83,3641,2345,55,105,0.709,1.909,0.524,1,2,,◦,י,ו,,,,,,,,,"IAA Image is difficult to read. On PAM 43278_55, the sign is more visible. Baumgarten reads a waw; however, this is not so easily interpreted. The sign is horizontal on its axis, and this means it could be the right-most branch of heh, chet, daleth, zayin, "
,,3,02_Frg_3ii_e_ROI.tif:2606-4046-3:P689-Fg055-R-C01-R01-D27012015-T151302-ML924 _012,2700,26.766,6,54,4021,2579,50,54,0.784,1.08,0.926,1,3,,◦,,,,,,,,,,,
,,4,02_Frg_3ii_e_ROI.tif:2553-3826:P689-Fg055-R-C01-R01-D27012015-T151302-ML924 _012,24366,57.552,22,87,3780,2380,93,262,0.607,2.817,0.355,1,5,,ל,,,,,,,,,,,
,,5,02_Frg_3ii_e_ROI.tif:2649-3728-5:P689-Fg055-R-C01-R01-D27012015-T151302-ML924 _012,28552,61.191,20,97,3645,2563,166,172,0.785,1.036,0.965,1,6,,ה,,,,,,,,,,,
,,6,02_Frg_3ii_e_ROI.tif:2654-3599-6:P689-Fg055-R-C01-R01-D27012015-T151302-ML924 _012,20640,51.617,15,94,3535,2574,129,160,0.776,1.24,0.806,1,7,,ב,,,,,,,,,,,
,,7,02_Frg_3ii_e_ROI.tif:2659-3514-7:P689-Fg055-R-C01-R01-D27012015-T151302-ML924 _012,9360,31.996,5,71,3475,2599,78,120,0.75,1.538,0.65,1,8,,◦,,,,,,,,,,,"Baumgarten reads a dalet, but this reading is made on the basis of CD. The idiograph of the sign coheres with the dalet, but there are other possibilities. RECHECK"
,,8,02_Frg_3ii_e_ROI.tif:2911-3868-8:P689-Fg055-R-C01-R01-D27012015-T151302-ML924 _012,9506,50.433,6,85,3819,2863,98,97,0.785,1.01,0.99,1,9,,◦,א,,,,,,,,,,
,,9,02_Frg_3ii_e_ROI.tif:2948-3761-9:P689-Fg055-R-C01-R01-D27012015-T151302-ML924 _012,21372,64.016,18,97,3683,2880,156,137,0.782,1.139,0.878,1,10,,ת,,,,,,,,,,,
,,10,02_Frg_3ii_e_ROI.tif:2615-3947-10:P689-Fg055-R-C01-R01-D27012015-T151302-ML924 _012,8880,69.693,12,96,3873,2585,148,60,0.645,2.467,0.405,1,4,,   ,,,,,,,,,,,
