id,sqe_master_id,roi_id,image_id_damascus,Area,Mean,Min,Max,BX,BY,Width,Height,Circ.,AR,Round,Solidity,reading_Order,reading_Order_Alt,uni_He_0,uni_He_1,uni_He_2,uni_He_3,uni_He_4,uni_He_5,line_ID,line_ID_Alt,attr_0,attr_1,is_Joined,commentary
1,,1,02_Frg_5ii_ROI.tif:1891-1334-1:1,8374,47790,15,82,1295,1838,79,106,769,1342,745,1000,,,י,,,,,,1,,damaged,,,
2,,2,02_Frg_5ii_ROI.tif:1966-1273-2:1,29904,65066,15,98,1229,1798,89,336,520,3775,265,1000,,,ן,,,,,,1,,damaged,,,
3,,3,02_Frg_5ii_ROI.tif:1840-1157-3:1,10153,81693,54,96,1086,1805,143,71,696,2014,497,1000,,,   ,,,,,,1,,,,,
4,,4,02_Frg_5ii_ROI.tif:1879-1041-4:1,11790,53852,15,89,996,1814,90,131,758,1456,687,1000,,,ו,,,,,,1,,,,,
5,,5,02_Frg_5ii_ROI.tif:1899-0929-5:1,20736,48417,14,90,857,1821,144,144,785,1000,1000,1000,,,כ,,,,,,1,,,,,
6,,6,02_Frg_5ii_ROI.tif:1879-0835-6:1,21160,55389,13,97,786,1793,115,184,744,1600,625,1000,,,ו,,,,,,1,,,,,
7,,7,02_Frg_5ii_ROI.tif:1737-0699-7:1,60976,59093,8,106,625,1552,148,412,611,2784,359,1000,,,ל,,,,,,1,,,,,
8,,8,02_Frg_5ii_ROI.tif:1865-0604-8:1,9786,73739,38,95,583,1749,42,233,407,5548,180,1000,,,   ,,,,,,1,,,,,
9,,9,02_Frg_5ii_ROI.tif:1897-0528-9:1,16350,48682,15,87,474,1822,109,150,766,1376,727,1000,,,א,,,,,,2,,,,,
10,,10,02_Frg_5ii_ROI.tif:2338-2799-10:1,2415,45575,9,77,2788,2304,35,69,701,1971,507,1000,,,ל,,,,,,2,,damaged,,,
11,,11,02_Frg_5ii_ROI.tif:2249-2736-11:1,3055,60188,9,99,2713,2217,47,65,765,1383,723,1000,,,ל,,,,,,2,,damaged,,,
12,,12,02_Frg_5ii_ROI.tif:2237-2673-12:1,2160,48702,16,89,2655,2207,36,60,736,1667,600,1000,,,א,,,,,,2,,damaged,,y,
13,,13,02_Frg_5ii_ROI.tif:2266-2599-13:1,240,56812,37,76,2592,2258,15,16,785,1067,938,1000,,,א,,,,,,2,,damaged,,y,
14,,14,02_Frg_5ii_ROI.tif:2158-2341-14:1,23701,66225,19,104,2282,2072,137,173,775,1263,792,1000,,,פ,,,,,,2,,damaged,,,
15,,15,02_Frg_5ii_ROI.tif:2120-2187-15:1,27313,77413,19,108,2164,2034,143,191,769,1336,749,1000,,,צ,,,,,,2,,,,,
16,,16,02_Frg_5ii_ROI.tif:2216-1828-16:1,21823,52109,11,93,1759,2138,139,157,782,1129,885,1000,,,ד,,,,,,2,,,,,
17,,17,02_Frg_5ii_ROI.tif:2194-1702-17:1,11349,58805,17,92,1638,2146,117,97,779,1206,829,1000,,,ב,,,,,,2,,,,,
18,,18,02_Frg_5ii_ROI.tif:2188-1601-18:1,15435,74057,26,102,1533,2109,105,147,764,1400,714,1000,,,ר,,,,,,2,,,,,
19,,19,02_Frg_5ii_ROI.tif:2183-1469-19:1,19092,70735,20,102,1414,2097,111,172,749,1550,645,1000,,,ו,,,,,,2,,,,,
20,,20,02_Frg_5ii_ROI.tif:2159-1335-20:1,30301,82325,40,100,1257,2063,157,193,777,1229,813,1000,,,   ,,,,,,2,,,,,
21,,21,02_Frg_5ii_ROI.tif:2049-1200-21:1,30736,52936,13,93,1144,1913,113,272,651,2407,415,1000,,,ל,,,,,,2,,,,,
22,,22,02_Frg_5ii_ROI.tif:2185-1119-22:1,23542,49348,13,91,1045,2106,149,158,785,1060,943,1000,,,ה,,,,,,2,,,,,
23,,23,02_Frg_5ii_ROI.tif:2186-0961-23:1,26404,53835,12,95,881,2104,161,164,785,1019,982,1000,,,ש,,,,,,2,,,,,
24,,24,02_Frg_5ii_ROI.tif:2195-0795-24:1,30450,46621,13,90,708,2108,175,174,785,1006,994,1000,,,מ,,,,,,2,,,,,
25,,25,02_Frg_5ii_ROI.tif:2184-0703-25:1,18297,50992,14,92,650,2099,107,171,744,1598,626,1000,,,י,,,,,,2,,,,,
26,,26,02_Frg_5ii_ROI.tif:2174-0538-26:1,26904,51021,11,96,499,2087,118,228,706,1932,518,1000,,,ע,?,,,,,2,,damaged,,,
27,,27,02_Frg_5ii_ROI.tif:2467-2743-27:1,19430,48570,9,88,2676,2395,134,145,784,1082,924,1000,,,מ,,,,,,3,,,,,
28,,28,02_Frg_5ii_ROI.tif:2491-2605-28:1,40176,62384,15,103,2512,2383,186,216,781,1161,861,1000,,,ה,,,,,,3,,,,,
29,,29,02_Frg_5ii_ROI.tif:2458-2468-29:1,11176,87864,67,103,2424,2395,88,127,760,1443,693,1000,,,   ,,,,,,3,,,,,
30,,30,02_Frg_5ii_ROI.tif:2431-2382-30:1,13612,67067,15,102,2341,2349,83,164,701,1976,506,1000,,,י,,,,,,3,,,,,
31,,31,02_Frg_5ii_ROI.tif:2425-2223-31:1,27824,69460,18,103,2129,2351,188,148,774,1270,787,1000,,,ש,,,,,,3,,,,,
32,,32,02_Frg_5ii_ROI.tif:2411-2123-32:1,5550,62729,25,100,2108,2319,30,185,377,6167,162,1000,,,ו,,,,,,3,,,,y,
33,,33,02_Frg_5ii_ROI.tif:2462-2011-33:1,1333,60212,28,88,1996,2441,31,43,765,1387,721,1000,,,ו,,,,,,3,,,,y,
34,,34,02_Frg_5ii_ROI.tif:2479-1902-34:1,26700,61660,14,96,1813,2404,178,150,780,1187,843,1000,,,ג,,,,,,3,,,,,
35,,35,02_Frg_5ii_ROI.tif:2482-1774-35:1,14476,81451,57,120,1736,2388,77,188,648,2442,410,1000,,,   ,,,,,,3,,,,,
36,,36,02_Frg_5ii_ROI.tif:2467-1672-36:1,21209,52563,14,92,1609,2384,127,167,771,1315,760,1000,,,ב,,,,,,3,,,,,
37,,37,02_Frg_5ii_ROI.tif:2476-1545-37:1,32844,68667,15,102,1465,2374,161,204,774,1267,789,1000,,,ד,,,,,,3,,,,,
38,,38,02_Frg_5ii_ROI.tif:2449-1393-38:1,19285,53203,2,93,1327,2377,133,145,784,1090,917,1000,,,ב,,,,,,3,,,,,
39,,39,02_Frg_5ii_ROI.tif:2467-1287-39:1,16506,59478,2,98,1222,2404,131,126,785,1040,962,1000,,,ר,,,,,,3,,,,,
40,,40,02_Frg_5ii_ROI.tif:2443-1123-40:1,19404,81453,56,96,1024,2394,198,98,696,2020,495,1000,,,   ,,,,,,3,,,,,
41,,41,02_Frg_5ii_ROI.tif:2458-0953-41:1,20022,50738,14,94,882,2388,142,141,785,1007,993,1000,,,מ,,,,,,3,,,,,
42,,42,02_Frg_5ii_ROI.tif:2466-0870-42:1,14472,50735,14,86,816,2399,108,134,776,1241,806,1000,,,ו,,,,,,3,,,,,
43,,43,02_Frg_5ii_ROI.tif:2491-0749-43:1,32234,54099,14,95,678,2378,142,227,744,1599,626,1000,,,ת,,,,,,3,,,,,
44,,44,02_Frg_5ii_ROI.tif:2808-3232-44:1,675,63110,31,90,3276,2890,27,25,784,1080,926,1000,,,◦,,,,,,4,,damaged,,,
45,,45,02_Frg_5ii_ROI.tif:2804-3229-45:1,2160,41894,9,81,3207,2780,45,48,785,1067,938,1000,,,◦,,,,,,4,,damaged,,,
46,,46,02_Frg_5ii_ROI.tif:2784-3171-46:1,11147,52712,8,92,3136,2706,71,157,674,2211,452,1000,,,   ,,,,,,4,,,,,
47,,47,02_Frg_5ii_ROI.tif:2794-3084-47:1,17956,44355,9,80,3002,2727,134,134,785,1000,1000,1000,,,א,,,,,,4,,,,,
48,,48,02_Frg_5ii_ROI.tif:2792-2997-48:1,17835,45179,13,81,2936,2720,123,145,780,1179,848,1000,,,ח,,,,,,4,,,,,
49,,49,02_Frg_5ii_ROI.tif:2782-2856-49:1,17094,55220,15,100,2801,2705,111,154,765,1387,721,1000,,,ו,,,,,,4,,,,,
50,,50,02_Frg_5ii_ROI.tif:2775-2752-50:1,20079,67969,19,101,2704,2672,97,207,683,2134,469,1000,,,   ,,,,,,4,,,,,
51,,51,02_Frg_5ii_ROI.tif:2783-2639-51:1,24564,49649,13,83,2566,2694,138,178,773,1290,775,1000,,,ה,,,,,,4,,,,,
52,,52,02_Frg_5ii_ROI.tif:2782-2514-52:1,31030,52168,13,90,2442,2675,145,214,756,1476,678,1000,,,כ,,,,,,4,,,,,
53,,53,02_Frg_5ii_ROI.tif:2781-2409-53:1,35970,51793,12,94,2327,2672,165,218,770,1321,757,1000,,,ה,,,,,,4,,,,,
54,,54,02_Frg_5ii_ROI.tif:2793-2277-54:1,16770,45025,12,86,2212,2729,130,129,785,1008,992,1000,,,נ,,,,,,4,,,,,
55,,55,02_Frg_5ii_ROI.tif:2804-2230-55:1,14040,52007,12,99,2191,2714,78,180,663,2308,433,1000,,,י,,,,,,4,,,,,
56,,56,02_Frg_5ii_ROI.tif:2809-2091-56:1,53332,69321,13,109,1992,2675,199,268,768,1347,743,1000,,,ם,,,,,,4,,,,,
57,,57,02_Frg_5ii_ROI.tif:2784-1917-57:1,27150,79874,31,108,1842,2694,150,181,779,1207,829,1000,,,   ,,,,,,4,,,,,
58,,58,02_Frg_5ii_ROI.tif:2805-1783-58:1,6844,62663,19,102,1724,2776,118,58,694,2034,492,1000,,,ב,,,,,,4,,damaged,,,
59,,59,02_Frg_5ii_ROI.tif:2820-1628-59:1,2744,61302,23,101,1600,2796,56,49,782,1143,875,1000,,,ע,,,,,,4,,damaged,,,
60,,60,02_Frg_5ii_ROI.tif:2764-1519-60:1,17024,50650,14,96,1463,2688,112,152,767,1357,737,1000,,,ב,,,,,,4,,damaged,,,
61,,61,02_Frg_5ii_ROI.tif:2780-1382-61:1,23427,56923,15,100,1314,2695,137,171,776,1248,801,1000,,,ו,,,,,,4,,damaged,,,
