id,sqe_master_id,roi_id,image_id_damascus,Area,Mean,Min,Max,BX,BY,Width,Height,Circ.,AR,Round,Solidity,reading_Order,reading_Order_Alt,related_To,is_Joined,kerning,damaged,uni_He_0,uni_He_1,uni_He_2,uni_He_3,uni_He_4,uni_He_5,line_ID,line_ID_Alt,attr_0,commentary
,,1,frg_1b_ROI.tif:00001-02614-01649:1,0.011,73.44,31,198,1.305,2.101,0.106,0.101,0.785,1.049,0.953,1,1,,,,1,1,ב,,,,,,1,,,
,,2,frg_1b_ROI.tif:00001-02695-01522:1,0.004,87.397,39,255,1.228,2.16,0.049,0.077,0.749,1.55,0.645,1,2,,,1,,1,ת,,,,,,1,,,
,,3,frg_1b_ROI.tif:00001-02788-02506:1,0.017,67.144,39,101,1.976,2.245,0.174,0.1,0.728,1.744,0.573,1,136,,,1,,1,ת,,,,,,1,,,The horizontal lower foot is consistent with a bet {{this_sign: all_bet}}
,,4,frg_1b_ROI.tif:00001-02991-01750:1,0.011,65.106,39,139,1.398,2.398,0.084,0.128,0.752,1.52,0.658,1,3,,,,,,ר,,,,,,2,,,
,,5,frg_1b_ROI.tif:00001-03000-01594:1,0.016,66.172,46,131,1.249,2.407,0.127,0.125,0.785,1.013,0.987,1,4,,,,,,ש,,,,,,2,,,
,,6,frg_1b_ROI.tif:00001-03004-01455:1,0.006,79.732,42,163,1.166,2.421,0.063,0.104,0.737,1.658,0.603,1,5,,,,,,ע,,,,,,2,,,
,,7,frg_1b_ROI.tif:00001-03059-01385:1,0.002,74.366,47,141,1.128,2.481,0.023,0.073,0.572,3.179,0.315,1,6,,,,,1,ה,,,,,,2,,,
,,8,frg_1b_ROI.tif:00001-03333-01813:1,0.018,64.201,25,128,1.426,2.676,0.132,0.136,0.785,1.031,0.97,1,7,,,,,1,ה,,,,,,3,,,
,,9,frg_1b_ROI.tif:00001-03345-01704:1,0.008,68.93,40,134,1.368,2.695,0.07,0.117,0.736,1.671,0.599,1,8,,,,,,נ,,,,,,3,,,
,,10,frg_1b_ROI.tif:00001-03354-01620:1,0.01,74.462,40,125,1.294,2.699,0.08,0.124,0.748,1.557,0.642,1,9,,,,,,ו,,,,,,3,,,
,,11,frg_1b_ROI.tif:00001-03355-01520:1,0.011,82.644,37,129,1.203,2.705,0.095,0.112,0.78,1.172,0.853,1,10,,,,,,ר,,,,,,3,,,
,,12,frg_1b_ROI.tif:00001-03363-01425:1,0.005,82.721,40,255,1.148,2.715,0.05,0.105,0.687,2.098,0.477,1,11,,,,,1,א,,,,,,3,,,
,,13,frg_1b_ROI.tif:00001-03634-01865:1,0.012,60.72,2,117,1.482,2.934,0.105,0.114,0.784,1.086,0.921,1,12,,,,,,מ,,,,,,4,,,
,,14,frg_1b_ROI.tif:00001-03635-01625:1,0.008,74.591,38,124,1.3,2.942,0.076,0.1,0.771,1.315,0.76,1,15,,,,,,ו,,,,,,4,,,
,,15,frg_1b_ROI.tif:00001-03639-01770:1,0.008,63.829,11,132,1.414,2.949,0.086,0.093,0.784,1.087,0.92,1,13,,,,,,א,,,,,,4,,,
,,16,frg_1b_ROI.tif:00001-03641-01500:1,0.009,88.777,38,255,1.18,2.956,0.109,0.083,0.771,1.317,0.759,1,16,,,,,1,ש,,,,,,4,,,
,,17,frg_1b_ROI.tif:00001-03648-01693:1,0.006,66.802,33,153,1.361,2.954,0.065,0.098,0.753,1.506,0.664,1,14,,,,,,נ,,,,,,4,,,
,,18,frg_1b_ROI.tif:00001-03908-01536:1,0.013,161.157,3,255,1.212,3.153,0.105,0.127,0.778,1.213,0.825,1,21,,,,,1,ת,,,,,,5,,,
,,19,frg_1b_ROI.tif:00001-03909-01957:1,0.012,61.567,32,125,1.556,3.162,0.109,0.11,0.785,1.008,0.993,1,17,,,,,,ב,,,,,,5,,,
,,20,frg_1b_ROI.tif:00001-03913-01860:1,0.009,65.432,30,137,1.489,3.169,0.084,0.105,0.776,1.245,0.803,1,18,,,,,,ע,,,,,,5,,,
,,21,frg_1b_ROI.tif:00001-03918-01767:1,0.012,72.145,34,166,1.405,3.165,0.1,0.119,0.779,1.198,0.834,1,19,,,,,,מ,,,,,,5,,,
,,22,frg_1b_ROI.tif:00001-03961-01649:1,0.016,99.456,36,255,1.313,3.17,0.089,0.182,0.693,2.046,0.489,1,20,,,,,1,ק,,,,,,5,,,
,,23,frg_1b_ROI.tif:00001-04200-01992:1,0.008,82.566,3,255,1.592,3.416,0.096,0.082,0.781,1.17,0.855,1,22,,,,,1,ח,,,,,,6,,,
,,24,frg_1b_ROI.tif:00001-04236-01860:1,0.016,88.112,34,255,1.474,3.417,0.114,0.139,0.777,1.225,0.817,1,23,,,,,1,ת,,,,,,6,,,
,,25,frg_1b_ROI.tif:00001-04259-01747:1,0.023,79.23,37,255,1.371,3.42,0.134,0.172,0.773,1.282,0.78,1,24,,,,,1,ם,,,,,,6,,,
,,26,frg_1b_ROI.tif:00001-05606-02302:1,0.002,68.131,42,127,1.882,4.581,0.025,0.067,0.62,2.7,0.37,1,25,,,,,1,ר,ד,ו,,,,7,,,
,,27,frg_1b_ROI.tif:00001-05882-02294:1,0.011,76.165,34,154,1.849,4.774,0.079,0.135,0.732,1.708,0.585,1,26,,,,,1,ב,,,,,,8,,,
,,28,frg_1b_ROI.tif:00001-05900-01985:1,0.003,97.443,49,255,1.617,4.815,0.033,0.083,0.638,2.525,0.396,1,29,,,,,1,ו,,,,,,8,,,
,,29,frg_1b_ROI.tif:00001-05902-02183:1,0.012,80.505,43,255,1.746,4.799,0.103,0.118,0.782,1.144,0.874,1,27,,,,,1,מ,,,,,,8,,,
,,30,frg_1b_ROI.tif:00001-05912-02058:1,0.012,77.696,21,150,1.646,4.802,0.096,0.128,0.769,1.333,0.75,1,28,,,,,,צ,,,,,,8,,,
,,31,frg_1b_ROI.tif:00001-06206-02225:1,0.015,73.42,46,124,1.772,5.044,0.119,0.127,0.785,1.069,0.935,1,31,,,,,,ת,,,,,,9,,,
,,32,frg_1b_ROI.tif:00001-06209-02105:1,0.01,75.985,35,139,1.69,5.049,0.086,0.122,0.761,1.423,0.703,1,32,,,,,,ר,,,,,,9,,,
,,33,frg_1b_ROI.tif:00001-06215-02316:1,0.011,71.33,49,110,1.856,5.059,0.101,0.113,0.783,1.114,0.898,1,30,,,,,,ב,,,,,,9,,,
,,34,frg_1b_ROI.tif:00001-06217-02012:1,0.008,94.104,51,156,1.619,5.063,0.075,0.109,0.759,1.451,0.689,1,33,,,,,1,ו,,,,,,9,,,
,,35,frg_1b_ROI.tif:00001-06417-02326:1,0.022,76.119,4,202,1.873,5.151,0.082,0.263,0.571,3.19,0.313,1,34,,,,,,ל,,,,,,10,,,
,,36,frg_1b_ROI.tif:00001-06439-02042:1,0.014,80.671,43,208,1.652,5.178,0.058,0.244,0.49,4.169,0.24,1,37,,,,,1,ל,,,,,,10,,,
