id,sqe_master_id,roi_id,image_id_damascus,Area,Mean,Min,Max,BX,BY,Width,Height,Circ.,AR,Round,Solidity,reading_Order,reading_Order_Alt,related_To,uni_He_0,uni_He_1,uni_He_2,uni_He_3,uni_He_4,uni_He_5,line_ID,line_ID_Alt,attr_0,attr_1,is_Joined,commentary
,,1,02_Frg_1_c_א_ROI.tif:2329-3986:4,403,63.868,52,98,3980,2314,13,31,0.654,2.385,0.419,1,1,,,◦,,,,,,,,,,,
,,2,02_Frg_1_c_א_ROI.tif:2339-3935:4,2205,60.526,43,96,3911,2317,49,45,0.784,1.089,0.918,1,2,,,◦,,,,,,,,,,,
,,7,02_Frg_1_c_א_ROI.tif:2520-3994:4,28574,63.31,2,155,3903,2442,182,157,0.781,1.159,0.863,1,3,,,ם,,,,,,,,,,,"On Pam 43291_58, there does appear to be a portion of ink to the right of the mem. In this case, it could be a yod per Baumgarten’s reading of י̇ם. "
,,11,02_Frg_1_c_א_ROI.tif:2511-3862:4,7380,73.215,4,128,3821,2466,82,90,0.784,1.098,0.911,1,4,,,    ,,,,,,,,,,,
,,3,02_Frg_1_c_א_ROI.tif:2429-3775:4,24380,67.243,29,121,3729,2297,92,265,0.601,2.88,0.347,1,5,,,ל,,,,,,,,,,,
,,4,02_Frg_1_c_א_ROI.tif:2532-3673:4,17595,65.676,45,124,3616,2456,115,153,0.77,1.33,0.752,1,6,,,ד,,,,,,,,,,,
,,5,02_Frg_1_c_א_ROI.tif:2487-3565:4,13068,62.994,30,106,3511,2427,108,121,0.783,1.12,0.893,1,7,,,ב,,,,,,,,,,,
,,6,02_Frg_1_c_א_ROI.tif:2500-3491:4,12267,63.803,34,137,3448,2430,87,141,0.741,1.621,0.617,1,8,,,ר,,,,,,,,,,,
,,8,02_Frg_1_c_א_ROI.tif:2682-3486:4,5290,59.33,30,96,3429,2659,115,46,0.641,2.5,0.4,1,9,,,◦,,,,,,,,,,,
,,9,02_Frg_1_c_א_ROI.tif:2658-3370:4,3888,67.356,39,125,3334,2631,72,54,0.769,1.333,0.75,1,10,,,◦,,,,,,,,,,,
,,10,02_Frg_1_c_א_ROI.tif:2647-3288:4,3468,61.732,33,123,3263,2613,51,68,0.769,1.333,0.75,1,11,,,◦,,,,,,,,,,,
