id,sqe_master_id,roi_id,image_id_damascus,Area,Mean,Min,Max,BX,BY,Width,Height,Circ.,AR,Round,Solidity,reading_Order,reading_Order_Alt,related_To,uni_He_0,uni_He_1,uni_He_2,uni_He_3,uni_He_4,uni_He_5,line_ID,line_ID_Alt,attr_0,attr_1,is_Joined,commentary
,,1,02_Frg_1_d_ROI.tif:2362-3997:1,1560,109.428,70,179,3971,2347,52,30,0.729,1.733,0.577,1,1,,,◦,י,,,,,1,,damaged,,,
,,2,02_Frg_1_d_ROI.tif:2397-3936:1,4545,107.045,73,162,3914,2347,45,101,0.67,2.244,0.446,1,2,,,ח,,,,,,1,,damaged,,1,
,,3,02_Frg_1_d_ROI.tif:2370-3863:1,13475,114.377,66,196,3825,2283,77,175,0.667,2.273,0.44,1,2,,,ח,,,,,,1,,damaged,,1,
,,4,02_Frg_1_d_ROI.tif:2358-3777:1,15252,99.539,63,151,3731,2276,93,164,0.725,1.763,0.567,1,3,,,ו,,,,,,1,,,,,
,,5,02_Frg_1_d_ROI.tif:2346-3633:1,49728,91.193,40,162,3548,2218,192,259,0.768,1.349,0.741,1,4,,,ת,,,,,,1,,damaged,,,
,,21,02_Frg_1_d_ROI.tif:2326-3495:1,12508,84.72,40,141,3442,2267,106,118,0.783,1.113,0.898,1,5,,,   ,,,,,,1,,,,,
,,6,02_Frg_1_d_ROI.tif:2312-3389:1,13038,71.61,4,130,3336,2251,106,123,0.781,1.16,0.862,1,6,,,ה,,,,,,1,,,,,
,,7,02_Frg_1_d_ROI.tif:2679-4181:1,189,95.677,74,159,4171,2675,21,9,0.66,2.333,0.429,1,7,,,ו,,,,,,2,,,,1,
,,8,02_Frg_1_d_ROI.tif:2701-4166:1,374,86.233,61,148,4155,2693,22,17,0.772,1.294,0.773,1,7,,,ו,,,,,,2,,,,1,
,,9,02_Frg_1_d_ROI.tif:2779-4199:1,3555,98.743,58,206,4177,2740,45,79,0.726,1.756,0.57,1,7,,,ו,,,,,,2,,,,1,
,,10,02_Frg_1_d_ROI.tif:2726-4057:1,25092,91.894,55,150,3981,2644,153,164,0.784,1.072,0.933,1,8,,,ה,,,,,,2,,,,,
,,22,02_Frg_1_d_ROI.tif:2713-3927:1,9523,108.479,79,161,3874,2669,107,89,0.779,1.202,0.832,1,9,,,   ,,,,,,2,,,,,
,,11,02_Frg_1_d_ROI.tif:2700-3814:1,16422,90.679,54,137,3755,2631,119,138,0.781,1.16,0.862,1,10,,,ב,,,,,,2,,,,,
,,12,02_Frg_1_d_ROI.tif:2689-3725:1,9030,91.319,59,140,3690,2625,70,129,0.716,1.843,0.543,1,11,,,י,,,,,,2,,,,,
,,13,02_Frg_1_d_ROI.tif:2695-3606:1,26578,98.373,56,170,3538,2598,137,194,0.762,1.416,0.706,1,12,,,ד,,,,,,2,,,,,
,,23,02_Frg_1_d_ROI.tif:2679-3490:1,9408,108.163,81,178,3442,2630,96,98,0.785,1.021,0.98,1,13,,,   ,,,,,,2,,,,,
,,14,02_Frg_1_d_ROI.tif:2658-3395:1,12927,87.782,41,181,3349,2589,93,139,0.755,1.495,0.669,1,14,,,מ,,,,,,2,,,,1,
,,15,02_Frg_1_d_ROI.tif:2577-3380:1,2528,74.024,50,126,3341,2561,79,32,0.645,2.469,0.405,1,14,,,מ,,,,,,2,,,,1,
,,16,02_Frg_1_d_ROI.tif:2624-3332:1,1064,77.24,37,132,3318,2605,28,38,0.767,1.357,0.737,1,14,,,מ,,,,,,2,,,,1,
,,17,02_Frg_1_d_ROI.tif:2626-3282:1,11325,90.785,31,154,3245,2551,75,151,0.697,2.013,0.497,1,15,,,ו,,,,,,2,,,,,
,,24,02_Frg_1_d_ROI.tif:2573-3187:1,4680,89.602,9,194,3155,2537,65,72,0.783,1.108,0.903,1,16,,,ש,,,,,,2,,,,,
,,18,02_Frg_1_d_ROI.tif:2853-4153:1,2773,91.26,55,182,4130,2824,47,59,0.775,1.255,0.797,1,17,,,ל,,,,,,3,,,,,
,,19,02_Frg_1_d_ROI.tif:2962-3526:1,11648,106.823,14,218,3462,2917,128,91,0.763,1.407,0.711,1,19,,,◦,,,,,,3,,,,,
,,20,02_Frg_1_d_ROI.tif:2932-3431:1,1872,93.265,3,173,3405,2914,52,36,0.759,1.444,0.692,1,20,,,◦,,,,,,3,,,,,
